question,answer
Anh ấy nói anh ấy sẽ mua cho cô ấy một chiếc nhẫn đẹp.,Có gì sai với điều đó?
Có gì sai với điều đó?,Anh đến Las Vegas.Anh ta mất tất cả đánh bạc.
Anh đến Las Vegas.Anh ta mất tất cả đánh bạc.,Tôi hy vọng mẹ của bạn chia tay với anh ấy.
Động vật có nói chuyện với nhau không?,Tất nhiên họ nói chuyện với nhau.
Tất nhiên họ nói chuyện với nhau.,Họ đang nói về chuyện gì?
Họ đang nói về chuyện gì?,Họ nói về những con vật khác.
Họ nói về những con vật khác.,Họ nói gì khác?
Họ nói gì khác?,Họ nói về thức ăn và thời tiết.
Họ nói về thức ăn và thời tiết.,Họ có nói về chúng tôi không?
Họ có nói về chúng tôi không?,Tất nhiên họ nói về chúng tôi.
Tất nhiên họ nói về chúng tôi.,Họ nói gì về chúng tôi?
Họ nói gì về chúng tôi?,Họ nói rằng chúng tôi trông thật hài hước.
Họ nói rằng chúng tôi trông thật hài hước.,HA!Chúng tôi không trông hài hước;Động vật trông thật hài hước.
HA!Chúng tôi không trông hài hước;Động vật trông thật hài hước.,Chúng tôi trông hài hước vì chúng tôi mặc quần áo.
Tôi phải dọn dẹp nhà cửa.,Vâng nó rất bẩn.
Vâng nó rất bẩn.,bạn có thể giúp tôi.
bạn có thể giúp tôi.,Tại sao tôi?
Tại sao tôi?,Bởi vì bạn đã giúp làm cho nó bẩn.
Bởi vì bạn đã giúp làm cho nó bẩn.,bạn muốn tôi làm gì?
bạn muốn tôi làm gì?,Tôi muốn bạn dọn dẹp phòng tắm.
Tôi muốn bạn dọn dẹp phòng tắm.,Ồ thật dễ dàng.
Ồ thật dễ dàng.,Làm sạch bồn rửa bồn tắm quầy và nhà vệ sinh.
Làm sạch bồn rửa bồn tắm quầy và nhà vệ sinh.,Đó là rất nhiều công việc.
Đó là rất nhiều công việc.,Hãy cho tôi biết khi bạn hoàn thành.
Hãy cho tôi biết khi bạn hoàn thành.,Tôi không nghĩ vậy.Bạn sẽ chỉ cho tôi nhiều công việc hơn.
Bạn đang xem quá nhiều TV.,Ý anh là gì?
Ý anh là gì?,Ý tôi là bạn đang lãng phí cuộc sống của mình.
Ý tôi là bạn đang lãng phí cuộc sống của mình.,Tôi đang vui.
Tôi đang vui.,Bạn đang ngồi đó với miệng mở.
Bạn đang ngồi đó với miệng mở.,ai quan tâm?
ai quan tâm?,tôi quan tâm. làm việc gì đó.
tôi quan tâm. làm việc gì đó.,được rồi.Tôi đã làm một cái gì đó.
được rồi.Tôi đã làm một cái gì đó.,bạn đã làm gì?
bạn đã làm gì?,Tôi bật lên âm lượng.
Tôi bật lên âm lượng.,Đó không phải là ý tôi là "làm điều gì đó."
Đó không phải là ý tôi là "làm điều gì đó.",Bạn sẽ làm gì đó?để tôi yên.
Bạn đã viết một lá thư cho bà?,Vâng tôi đã làm.
Vâng tôi đã làm.,Bạn đã nói với cô ấy về trường học?
Bạn đã nói với cô ấy về trường học?,Tôi nói với cô ấy rằng trường học là niềm vui.
Tôi nói với cô ấy rằng trường học là niềm vui.,Bạn đã đặt bức thư trong một phong bì?
Bạn đã đặt bức thư trong một phong bì?,Vâng và tôi đã niêm phong phong bì.
Vâng và tôi đã niêm phong phong bì.,Bạn đã đặt một con tem trên phong bì?
Bạn đã đặt một con tem trên phong bì?,Tôi không thể tìm thấy bất kỳ tem nào.
Tôi không thể tìm thấy bất kỳ tem nào.,Họ đang ở trong ngăn kéo nhà bếp.
Họ đang ở trong ngăn kéo nhà bếp.,được rồi.Tôi chỉ đặt một con tem trên phong bì.
được rồi.Tôi chỉ đặt một con tem trên phong bì.,Cho tôi phong bì và tôi sẽ gửi nó cho bạn.
Cho tôi phong bì và tôi sẽ gửi nó cho bạn.,Khi nào bà sẽ tìm hiểu về e-mail?
Tại sao bạn lại ngáp?,Tôi đang buồn ngủ.
Tôi đang buồn ngủ.,Tại sao bạn không đi ngủ?
Tại sao bạn không đi ngủ?,Tôi muốn xem chương trình truyền hình này.
Tôi muốn xem chương trình truyền hình này.,Có lẽ bạn nên ghi lại nó.
Có lẽ bạn nên ghi lại nó.,Máy ghi âm bị hỏng.
Máy ghi âm bị hỏng.,Sau đó bạn nên xem chạy lại.
Sau đó bạn nên xem chạy lại.,Tại sao?Tôi đang xem bản gốc.
Tại sao?Tôi đang xem bản gốc.,Nhưng bạn sẽ ngủ trong khoảng một phút.
Nhưng bạn sẽ ngủ trong khoảng một phút.,Tôi chỉ ngáp vì quảng cáo đang được bật.
Tôi chỉ ngáp vì quảng cáo đang được bật.,được rồi.Tôi sẽ cho bạn biết chương trình kết thúc như thế nào.
được rồi.Tôi sẽ cho bạn biết chương trình kết thúc như thế nào.,Zzz.
hôm nay là chủ nhật.,Vì thế?
Vì thế?,Bạn biết điều đó có nghĩa là gì.
Bạn biết điều đó có nghĩa là gì.,Tôi quên mất.
Tôi quên mất.,Chủ nhật có nghĩa là chúng tôi đến nhà thờ.
Chủ nhật có nghĩa là chúng tôi đến nhà thờ.,Ồ vâng.
Ồ vâng.,Đặt trên một chiếc áo khoác và cà vạt.
Đặt trên một chiếc áo khoác và cà vạt.,Tại sao?
Tại sao?,Để thể hiện sự tôn trọng với Chúa và những người khác.
Để thể hiện sự tôn trọng với Chúa và những người khác.,Tôi rất vui vì Chủ nhật chỉ một lần một tuần.
Tôi rất vui vì Chủ nhật chỉ một lần một tuần.,Tôi hy vọng Chúa không nghe thấy điều đó.
Tôi hy vọng Chúa không nghe thấy điều đó.,Anh ấy sẽ tha thứ cho tôi.
Bạn đã cho mèo ăn?,Tôi sẽ làm điều đó trong một phút.
Tôi sẽ làm điều đó trong một phút.,Con mèo đang meo.anh ta đói bụng.
Con mèo đang meo.anh ta đói bụng.,được rồi.Tôi sẽ cho anh ta ăn ngay bây giờ.
được rồi.Tôi sẽ cho anh ta ăn ngay bây giờ.,Bạn không nên làm cho anh ta chờ đợi.
Bạn không nên làm cho anh ta chờ đợi.,Tôi đang làm bài tập về nhà của tôi.
Tôi đang làm bài tập về nhà của tôi.,Con mèo không quan tâm đến bài tập về nhà của bạn.
Con mèo không quan tâm đến bài tập về nhà của bạn.,Con mèo không quan tâm đến bất cứ điều gì.
Con mèo không quan tâm đến bất cứ điều gì.,Đó là cách mèo đang ở.
Đó là cách mèo đang ở.,Tất cả những gì họ nghĩ là chính họ.
Tất cả những gì họ nghĩ là chính họ.,Có lẽ chúng ta nên thoát khỏi anh ta.
Có lẽ chúng ta nên thoát khỏi anh ta.,dĩ nhiên là không!Anh ấy là gia đình.
Tôi ghét cạo râu.,Tôi cũng vậy.
Tôi cũng vậy.,Tôi chỉ tự cắt mình một lần nữa.
Tôi chỉ tự cắt mình một lần nữa.,Bạn đã sử dụng một lưỡi kiếm mới?
Bạn đã sử dụng một lưỡi kiếm mới?,Nó không quan trọng.Lưỡi dao cũ cắt lưỡi dao mới cắt.
Nó không quan trọng.Lưỡi dao cũ cắt lưỡi dao mới cắt.,Có lẽ bạn nên sử dụng máy cạo râu điện.
Có lẽ bạn nên sử dụng máy cạo râu điện.,Họ gây ra nhiều tiếng ồn nhưng họ không cạo râu gần gũi.
Họ gây ra nhiều tiếng ồn nhưng họ không cạo râu gần gũi.,Có lẽ bạn nên ngừng cạo râu.
Có lẽ bạn nên ngừng cạo râu.,và trồng một bộ râu?
và trồng một bộ râu?,Chắc chắn.tại sao không?
Chắc chắn.tại sao không?,Bởi vì thức ăn và những thứ khác dính vào râu của tôi.
Bởi vì thức ăn và những thứ khác dính vào râu của tôi.,Hmm.Đây là một ý tưởng.Đặt kem lên mặt và để mèo liếm nó ra.
xin lỗi.,Đúng?
Đúng?,Bạn đang đọc bài báo này?
Bạn đang đọc bài báo này?,Ôi không. tự lo lấy thân.
Ôi không. tự lo lấy thân.,Tôi hỏi vì tờ giấy đang ngồi cạnh bạn.
Tôi hỏi vì tờ giấy đang ngồi cạnh bạn.,Cảm ơn.Đó là sự lịch sự của bạn để hỏi.
Cảm ơn.Đó là sự lịch sự của bạn để hỏi.,Một số người sẽ chỉ nhặt nó lên.
Một số người sẽ chỉ nhặt nó lên.,Vâng tôi biết.Một số người thô lỗ.
Vâng tôi biết.Một số người thô lỗ.,Tôi luôn cố gắng trở nên lịch sự.
Tôi luôn cố gắng trở nên lịch sự.,tôi cũng thế.
tôi cũng thế.,Thế giới cần những người lịch sự hơn như chúng ta.
Thế giới cần những người lịch sự hơn như chúng ta.,Tôi đồng ý 100 phần trăm.
Mẹ con muốn có một con chó con.,để tôi nghi vê no.
để tôi nghi vê no.,Tại sao bạn phải nghĩ về nó?
Tại sao bạn phải nghĩ về nó?,Bởi vì một con chó con tốn tiền.
Bởi vì một con chó con tốn tiền.,Không nó không.Chó con là miễn phí.
Không nó không.Chó con là miễn phí.,Vâng nhưng một con chó con cần chụp.
Vâng nhưng một con chó con cần chụp.,Ảnh cho những gì?
Ảnh cho những gì?,Vì vậy nó sẽ không bị bệnh.Giống như bạn có được bức ảnh.
Vì vậy nó sẽ không bị bệnh.Giống như bạn có được bức ảnh.,Tôi ghét những bức ảnh.
Tôi ghét những bức ảnh.,và một con chó con ăn thức ăn.Thực phẩm có giá tiền.
và một con chó con ăn thức ăn.Thực phẩm có giá tiền.,Không vấn đề.Tôi sẽ cho anh ấy thức ăn ra khỏi đĩa của tôi.
Không vấn đề.Tôi sẽ cho anh ấy thức ăn ra khỏi đĩa của tôi.,Ồ không bạn không.Chó con không ăn rau.
Nhìn vào tất cả những chú mèo con này!,Có bao nhiêu?
Có bao nhiêu?,tám.
tám.,Tất cả đều rất dễ thương.
Tất cả đều rất dễ thương.,Vâng nhưng tôi không thể giữ chúng.
Vâng nhưng tôi không thể giữ chúng.,Bạn sẽ làm gì với họ?
Bạn sẽ làm gì với họ?,Tôi sẽ cho họ đi.Bạn có muốn một?
Tôi sẽ cho họ đi.Bạn có muốn một?,Vâng tôi sẽ thích một.
Vâng tôi sẽ thích một.,Bạn muốn cái nào?
Bạn muốn cái nào?,cái đó.Một trong đó tất cả đều là màu đen.
cái đó.Một trong đó tất cả đều là màu đen.,Vâng tôi cũng thích cái đó.
Vâng tôi cũng thích cái đó.,Tôi sẽ gọi anh ấy là Blacky.
Bố mẹ tôi đi nhà thờ vào mỗi Chủ nhật.,Họ tin tưởng vào Chúa.
Họ tin tưởng vào Chúa.,Họ hy vọng họ sẽ lên thiên đàng.
Họ hy vọng họ sẽ lên thiên đàng.,Họ có thể sẽ.
Họ có thể sẽ.,Nhưng không ai biết chắc chắn.
Nhưng không ai biết chắc chắn.,chắc chắn rồi.
chắc chắn rồi.,Không ai biết chuyện gì xảy ra sau khi chúng ta chết.
Không ai biết chuyện gì xảy ra sau khi chúng ta chết.,Nếu chúng ta tốt chúng ta sẽ hạnh phúc trên thiên đàng với Chúa.
Nếu chúng ta tốt chúng ta sẽ hạnh phúc trên thiên đàng với Chúa.,Đó là những gì nhiều người tin.
Đó là những gì nhiều người tin.,Nếu chúng ta xấu chúng ta sẽ không hạnh phúc mãi mãi trong địa ngục.
Nếu chúng ta xấu chúng ta sẽ không hạnh phúc mãi mãi trong địa ngục.,Tôi không muốn xuống địa ngục.
Tôi không muốn xuống địa ngục.,Hãy đến nhà thờ với cha mẹ của bạn vào Chủ nhật.
Chồng tôi đã chết.,Tôi xin lỗi cho bạn.
Tôi xin lỗi cho bạn.,Cảm ơn.
Cảm ơn.,ông ấy đã chết khi nào?
ông ấy đã chết khi nào?,một vài tháng trước đây.
một vài tháng trước đây.,bạn vẫn còn nhớ anh ấy.
bạn vẫn còn nhớ anh ấy.,Vâng nhưng tôi nói chuyện với anh ấy gần như mỗi ngày.
Vâng nhưng tôi nói chuyện với anh ấy gần như mỗi ngày.,Khi bạn đến nhà thờ?
Khi bạn đến nhà thờ?,Không khi tôi gọi anh ấy trên điện thoại di động của anh ấy.
Không khi tôi gọi anh ấy trên điện thoại di động của anh ấy.,Ý anh là gì?
Ý anh là gì?,Tôi chôn anh ta bằng điện thoại di động của anh ta.
Tôi chôn anh ta bằng điện thoại di động của anh ta.,Bạn sẽ làm gì khi pin chết?
Hôm nay là thứ sáu thứ mười ba.,Đó là một ngày tồi tệ.
Đó là một ngày tồi tệ.,Nó được cho là không may mắn.
Nó được cho là không may mắn.,Bạn phải ở nhà cả ngày.
Bạn phải ở nhà cả ngày.,Đó là những gì tôi làm.
Đó là những gì tôi làm.,Bạn tôi đã ở trong một khách sạn vào thứ Sáu ngày mười ba.
Bạn tôi đã ở trong một khách sạn vào thứ Sáu ngày mười ba.,đó là một sai lầm.
đó là một sai lầm.,Anh ở lại tầng mười ba.
Anh ở lại tầng mười ba.,chuyện gì đã xảy ra thế?
chuyện gì đã xảy ra thế?,Ai đó đã đánh cắp máy tính xách tay của mình.
Ai đó đã đánh cắp máy tính xách tay của mình.,Anh ấy đã yêu cầu nó.
Anh ấy đã yêu cầu nó.,Anh ấy đã học được bài học của mình.Hôm nay anh ấy về nhà.
bạn co thực sự yêu tôi?,tất nhiên rồi.
tất nhiên rồi.,chứng minh nó.
chứng minh nó.,Làm thế nào tôi có thể chứng minh điều đó?
Làm thế nào tôi có thể chứng minh điều đó?,Đưa tôi đi ăn tối.
Đưa tôi đi ăn tối.,đó là nó?Đó là tất cả những gì tôi phải làm?
đó là nó?Đó là tất cả những gì tôi phải làm?,Đưa tôi đến một nhà hàng đẹp không phải đến McDonald.
Đưa tôi đến một nhà hàng đẹp không phải đến McDonald.,Nhưng một nhà hàng tốt đẹp tốn tiền.
Nhưng một nhà hàng tốt đẹp tốn tiền.,Có và bạn phải đặt chỗ.
Có và bạn phải đặt chỗ.,Đó là một rắc rối như vậy.
Đó là một rắc rối như vậy.,Tôi biết bạn không yêu tôi.
Tôi biết bạn không yêu tôi.,được rồi được rồi!Tôi sẽ đặt chỗ ngay bây giờ.
Bố mẹ tôi đã ly hôn.,tôi cũng vậy.
tôi cũng vậy.,Tại sao bố mẹ bạn ly hôn?
Tại sao bố mẹ bạn ly hôn?,Bố tôi đã tìm thấy một người bạn gái mới.
Bố tôi đã tìm thấy một người bạn gái mới.,Điều đó quá tệ.
Điều đó quá tệ.,Mẹ tôi bị tổn thương và tức giận.
Mẹ tôi bị tổn thương và tức giận.,Cô ấy có lý do chính đáng.những gì cô ấy đã làm?
Cô ấy có lý do chính đáng.những gì cô ấy đã làm?,Cô bảo anh bỏ bạn gái.
Cô bảo anh bỏ bạn gái.,Cha của bạn đã làm gì?
Cha của bạn đã làm gì?,Anh ấy rời khỏi nhà chúng tôi.
Anh ấy rời khỏi nhà chúng tôi.,Tôi đoán anh ấy thực sự thích bạn gái mới của mình.
Tôi đoán anh ấy thực sự thích bạn gái mới của mình.,Vâng nhưng cô ấy đã bỏ anh ấy một năm sau đó.
Căn hộ của bà tôi có mùi buồn cười.,của tôi cũng vậy.
của tôi cũng vậy.,Tôi nghĩ rằng đó là mùi của người già.
Tôi nghĩ rằng đó là mùi của người già.,Thực ra?
Thực ra?,Đúng.Tôi nghĩ khi bạn già đi bạn bắt đầu ngửi.
Đúng.Tôi nghĩ khi bạn già đi bạn bắt đầu ngửi.,Giống như trái cây quá chín?
Giống như trái cây quá chín?,Vâng giống như trái cây quá chín.
Vâng giống như trái cây quá chín.,Nhưng mùi thì khác.
Nhưng mùi thì khác.,Vâng người già không có mùi như trái cây.
Vâng người già không có mùi như trái cây.,Không họ có mùi như một cửa hàng tiết kiệm.
Không họ có mùi như một cửa hàng tiết kiệm.,Vâng một cửa hàng tiết kiệm có mùi tương tự.
Vâng một cửa hàng tiết kiệm có mùi tương tự.,Vâng một mùi cũ.
Giá của tem tăng lên và lên.,Tôi nghĩ rằng tem được sử dụng để tiêu tốn một xu.
Tôi nghĩ rằng tem được sử dụng để tiêu tốn một xu.,Đó là một thời gian dài trước đây.
Đó là một thời gian dài trước đây.,Đó là trước khi tôi được sinh ra.
Đó là trước khi tôi được sinh ra.,Bây giờ một con tem là 42 xu.
Bây giờ một con tem là 42 xu.,Nhưng vào tháng Năm nó sẽ là 44 xu.
Nhưng vào tháng Năm nó sẽ là 44 xu.,Bạn đã bao giờ bị mất một lá thư trong thư?
Bạn đã bao giờ bị mất một lá thư trong thư?,Không tôi chưa.
Không tôi chưa.,Tôi cũng không có.
Tôi cũng không có.,Vì vậy họ làm một công việc tốt cho tiền.
Vì vậy họ làm một công việc tốt cho tiền.,Vâng họ làm.
Vâng họ làm.,Có lẽ chúng ta không nên phàn nàn.
Một nút tắt áo của tôi.,bạn định làm gì?
bạn định làm gì?,Đầu tiên tôi phải tìm nút.
Đầu tiên tôi phải tìm nút.,Bạn đã mất nó ở đâu?
Bạn đã mất nó ở đâu?,tôi không có ý kiến.
tôi không có ý kiến.,Một nút khó tìm.Bạn đã nhìn vào còng quần của bạn?
Một nút khó tìm.Bạn đã nhìn vào còng quần của bạn?,đó là một ý kiến ​​hay.
đó là một ý kiến ​​hay.,Tôi tìm thấy một nút trong còng quần của tôi một lần.
Tôi tìm thấy một nút trong còng quần của tôi một lần.,để tôi xem.Không nó không có ở đó.
để tôi xem.Không nó không có ở đó.,Nhiều chiếc áo có thêm một nút.
Nhiều chiếc áo có thêm một nút.,bạn đúng.Cái này có thêm một nút.
bạn đúng.Cái này có thêm một nút.,Bây giờ tất cả những gì bạn phải làm là may nó trên.
Tôi phải đi vệ sinh.,Bạn uống quá nhiều cà phê.
Bạn uống quá nhiều cà phê.,Nhưng tôi yêu cà phê.
Nhưng tôi yêu cà phê.,Vâng đó là cuộc sống của bạn.
Vâng đó là cuộc sống của bạn.,Bạn ăn quá nhiều sô cô la.
Bạn ăn quá nhiều sô cô la.,Tôi không nghĩ vậy.
Tôi không nghĩ vậy.,Bạn đã nhìn vào gương chưa?
Bạn đã nhìn vào gương chưa?,Bạn có nghĩ rằng tôi đang béo?
Bạn có nghĩ rằng tôi đang béo?,Tôi không nói điều đó.
Tôi không nói điều đó.,bạn nói gì?
bạn nói gì?,Tôi nói tôi phải đi vệ sinh.
Tôi nói tôi phải đi vệ sinh.,Đó là những gì tôi nghĩ bạn đã nói.
Bạn đã giặt đồ?,Vâng tôi đã làm.
Vâng tôi đã làm.,Bạn đã rửa gì?
Bạn đã rửa gì?,Tôi rửa khăn và khăn.
Tôi rửa khăn và khăn.,Còn những chiếc gối thì sao?
Còn những chiếc gối thì sao?,Vâng tôi lấy chúng ra khỏi gối và rửa chúng.
Vâng tôi lấy chúng ra khỏi gối và rửa chúng.,Bạn đã làm khô mọi thứ trong máy sấy?
Bạn đã làm khô mọi thứ trong máy sấy?,Vâng tôi đã làm khô mọi thứ trong máy sấy.
Vâng tôi đã làm khô mọi thứ trong máy sấy.,Vậy thì bạn đã làm gì?
Vậy thì bạn đã làm gì?,Tôi gấp tất cả các khăn.
Tôi gấp tất cả các khăn.,Bạn đã đặt tấm trải giường trên giường?
Bạn đã đặt tấm trải giường trên giường?,Vâng và tôi đặt những chiếc gối lên gối.
Bạn có nghe radio không?,Tôi lắng nghe cả ngày lẫn đêm.
Tôi lắng nghe cả ngày lẫn đêm.,bạn nghe gì vậy?
bạn nghe gì vậy?,Chủ yếu là cuộc nói chuyện radio.
Chủ yếu là cuộc nói chuyện radio.,Cái gì vậy?
Cái gì vậy?,Mọi người nói về các sự kiện hiện tại.
Mọi người nói về các sự kiện hiện tại.,họ nói cái gì?
họ nói cái gì?,Họ nói rằng họ muốn thay đổi.
Họ nói rằng họ muốn thay đổi.,Loại thay đổi nào?
Loại thay đổi nào?,Họ muốn cắt giảm thuế.
Họ muốn cắt giảm thuế.,Tại sao họ muốn cắt giảm thuế?
Tại sao họ muốn cắt giảm thuế?,Bởi vì cắt giảm thuế sẽ tiết kiệm tiền cho họ.
mẹ con đoi.,Nhìn vào tủ lạnh.
Nhìn vào tủ lạnh.,Tôi đang nhìn.Không có gì để ăn.
Tôi đang nhìn.Không có gì để ăn.,bạn có chắc không?
bạn có chắc không?,Nó gần như trống rỗng.
Nó gần như trống rỗng.,Tôi đã đi chợ ngày hôm qua.
Tôi đã đi chợ ngày hôm qua.,Tôi không thấy gì cả.
Tôi không thấy gì cả.,Tôi đã mua rất nhiều cam và táo.
Tôi đã mua rất nhiều cam và táo.,Tôi không muốn trái cây.Tôi muốn một cái gì đó ngon.
Tôi không muốn trái cây.Tôi muốn một cái gì đó ngon.,Ăn trái cây.Nó tốt cho bạn.
Ăn trái cây.Nó tốt cho bạn.,Lần tới khi bạn đi chợ hãy để tôi đi cùng bạn.
Lần tới khi bạn đi chợ hãy để tôi đi cùng bạn.,không cám ơn.Tất cả những gì bạn muốn ăn là những con chó nóng và thanh kẹo.
có gì để ăn ở đó?,Tôi không biết.Nhìn vào tủ lạnh.
Tôi không biết.Nhìn vào tủ lạnh.,Tôi nghĩ rằng tôi sẽ làm một chiếc bánh sandwich.
Tôi nghĩ rằng tôi sẽ làm một chiếc bánh sandwich.,loại nào?
loại nào?,một sandwich giăm bông.
một sandwich giăm bông.,Bánh mì nằm trong tủ.
Bánh mì nằm trong tủ.,Mù tạt ở đâu?
Mù tạt ở đâu?,Đó là trong tủ lạnh tôi nghĩ vậy.
Đó là trong tủ lạnh tôi nghĩ vậy.,Ồ vâng đây là.Bạn muốn có một bánh sandwich?
Ồ vâng đây là.Bạn muốn có một bánh sandwich?,Vâng điều đó nghe có vẻ hay.
Vâng điều đó nghe có vẻ hay.,Làm thế nào về một số khoai tây chiên?
Làm thế nào về một số khoai tây chiên?,Đúng.Và một dưa chua nếu chúng ta có bất kỳ.
Đã đến lúc tắm cô gái trẻ.,Nhưng mẹ con không bẩn.
Nhưng mẹ con không bẩn.,Bạn cần tắm mỗi ngày.
Bạn cần tắm mỗi ngày.,Tại sao?
Tại sao?,Bởi vì bạn không muốn ngửi thấy mùi xấu.
Bởi vì bạn không muốn ngửi thấy mùi xấu.,Tôi không có mùi hôi.
Tôi không có mùi hôi.,Đó là những gì bạn nghĩ.
Đó là những gì bạn nghĩ.,Nếu tôi có mùi hôi tôi có thể ngửi thấy tôi.
Nếu tôi có mùi hôi tôi có thể ngửi thấy tôi.,tôi có thể nhận ra bạn qua những điều nhỏ nhất.
tôi có thể nhận ra bạn qua những điều nhỏ nhất.,Tôi cũng có thể ngửi thấy bạn.
Tôi cũng có thể ngửi thấy bạn.,Đó là nước hoa của tôi.
Đó là nước hoa của tôi.,Khi nào tôi có thể mặc nước hoa?
Có gì đó không ổn với máy tính của tôi.,chính xác cái gì?
chính xác cái gì?,Tất cả những gì tôi nhận được là một màn hình đen.
Tất cả những gì tôi nhận được là một màn hình đen.,Có chuyện gì vậy?
Có chuyện gì vậy?,Tôi nghĩ rằng tôi biết bởi vì điều này đã xảy ra trước đây.
Tôi nghĩ rằng tôi biết bởi vì điều này đã xảy ra trước đây.,Chuyện gì đã xảy ra trước đây?
Chuyện gì đã xảy ra trước đây?,Ổ cứng của tôi bị rơi.
Ổ cứng của tôi bị rơi.,Ôi không. Đó là tin tức xấu.
Ôi không. Đó là tin tức xấu.,Nó chắc chắn là nhưng tôi sẽ gọi HP trước chỉ để đảm bảo.
Nó chắc chắn là nhưng tôi sẽ gọi HP trước chỉ để đảm bảo.,Bạn sẽ mất tất cả các tập tin của mình chứ?
Bạn sẽ mất tất cả các tập tin của mình chứ?,Không tôi luôn sao lưu các tập tin của mình.
Không tôi luôn sao lưu các tập tin của mình.,bạn thông minh.
