question,answer
Iran Syria lập mặt trận chung ,"Iran, Syria lập “mặt trận chung” để đối phó TT Iran Mohammad Khatami (phải) và Thủ tướng Syria Mohammed Naji Otari tại Dinh TT Iran ở Tehran ngày 17-2 Iran và Syria, hai nước đang vướng vào các cuộc tranh cãi với Mỹ, hôm 16-2 tuyên bố họ sẽ lập một “mặt trận thống nhất” đối phó với các thách thức và mối đe dọa, đặc biệt là “cây gậy” các biện pháp trừng phạt mà Washington đang giơ ra Phát biểu sau cuộc gặp với Thủ tướng Syria Mohammed Naji Otari đang ở thăm Iran, Phó Tổng thống Iran Reza Aref tuyên bố: “Xem xét những điều kiện đặc biệt mà Syria đang phải đối mặt, Iran sẽ chuyển giao kinh nghiệm của mình, nhất là những kinh nghiệm liên quan đến các biện pháp trừng phạt, cho Syria”. Về phần mình, Thủ tướng Syria Otari đánh giá cao cuộc gặp và nhấn mạnh rằng “trong thời điểm nhạy cảm này, hai nước cần một mặt trận chung có nhiều thách thức khác nhau”. Cuộc gặp giữa 2 nhà lãnh đạo Syria và Iran xảy ra chỉ một ngày sau khi Mỹ triệu hồi đại sứ của họ tại Syria về nước do nghi ngờ Damascus dính líu vào vụ nổ bom ở Beirut, Lebanon, ngày 14-2 khiến cựu thủ tướng Lebanon Rafik Hariri thiệt mạng. Chính quyền Bush năm ngoái đã quyết định áp đặt các biện pháp trừng phạt đối với Syria và từ nhiều tháng qua đã có những lời lẽ cứng rắn về sự có mặt của 14.000 binh lính Syria ở Lebanon, cáo buộc nước này ủng hộ khủng bố và can thiệp vào tình hình Iraq thời hậu Saddam Hussein. Syria bác bỏ sự dính líu của họ vào sự kiện ngày 14-2 ở Lebanon và cho rằng có một “âm mưu nước ngoài” đằng sau vụ ám sát ông Hariri nhằm gây chia rẽ quan hệ Syria-Lebanon. Cuộc gặp cấp cao Iran-Syria cũng diễn ra sau 2 tuần lễ căng thẳng giữa Tehran và Washington quanh chương trình hạt nhân của nước này. Mỹ và Israel cáo buộc Iran rắp tâm sản xuất vũ khí hạt nhân và Tel Aviv hồi đầu tuần đã cảnh báo Iran có thể chế tạo một quả bom hạt nhân sau 6 tháng nữa, chứ không phải đến cuối thập kỷ này như nhiều người vẫn tưởng. Tuy nhiên, thông tin này đã bị Giám đốc Cơ quan Nguyên tử năng Quốc tế (IAEA) Mohammed ElBaradei bác bỏ ngày 16-2 bằng tuyên bố rằng không có dấu hiệu nào cho thấy Iran đang tìm cách chế tạo vũ khí hạt nhân trong 6 tháng qua. Các quan chức Mỹ cho biết họ đang cân nhắc áp đặt các biện pháp trừng phạt mới đối với Syria do nước này từ chối rút quân khỏi Lebanon. Với Iran, các nhà lập pháp Mỹ hôm 16-2 đã bắt đầu các nỗ lực áp đặt đạo luật về các biện pháp trừng phạt Iran-Libya năm 1996, cho phép Mỹ trừng phạt các công ty nước ngoài làm ăn ở Iran. Liên hiệp châu Âu, vốn đang vận dụng các biện pháp ngoại giao trong vấn đề Iran, đã dọa trả đũa bằng cách đánh thuế hàng Mỹ nếu luật trên được áp dụng."
Nước nào tiêu thụ hàng hóa nhiều nhất thế giới?,"Nước nào tiêu thụ hàng hóa nhiều nhất thế giới? Từ nhiều thập kỷ qua, khi Trung Quốc (TQ) còn đóng cửa với các doanh nghiệp Mỹ, các công ty Mỹ mơ ước một ngày nào đó xâm nhập thị trường hàng hóa mà một quốc gia rộng lớn với một số lượng người tiêu dùng khổng lồ cung cấp. Nay thì ngày đó đã đến: TQ đã vượt Mỹ trong việc tiêu thụ nhiều mặt hàng thực phẩm, năng lượng và công nghiệp, ngoại trừ dầu thô. Ngay cả về hàng hóa tiêu dùng, người TQ đã vượt người Mỹ về tủ lạnh, xem truyền hình nhiều hơn gấp 1,5 lần và sử dụng điện thoại di động nhiều gần gấp đôi. Một báo cáo do Viện Chính sách Trái đất, một tổ chức hoạt động vì môi trường có trụ sở tại Mỹ, công bố hôm 16-2 cho thấy 1,3 tỉ dân TQ dùng 64 triệu tấn thịt trong năm qua, so với 38 triệu tấn được tiêu thụ ở Mỹ. Có nghĩa là mỗi người TQ dùng 49 kg thịt, chủ yếu là thịt heo vì nước này sở hữu phân nửa số heo trên thế giới, trong khi mỗi người Mỹ dùng 127 kg thịt bò, xúc xích, thịt gà chiên và các sản phẩm động vật khác. Nhưng phân bón để trồng lương thực là thước đo sự tăng trưởng trong tiêu thụ lương thực thực phẩm ở TQ. Lượng phân bón được sử dụng ở TQ cao gấp đôi so với Mỹ trong năm qua. Thép cũng là mặt hàng phản ánh một đất nước đang hiện đại hóa, và TQ đã sử dụng thép nhiều gấp đôi so với Mỹ tính đến năm 2003. Một loại nhiên liệu hóa thạch khác là than, hiện chiếm 2/3 năng lượng tiêu thụ ở TQ, các hộ gia đình và nhà máy TQ tiêu thụ than nhiều hơn gấp 40% so với lượng than tiêu thụ ở Mỹ. Báo cáo nói trên được công bố đúng vào thời điểm Nghị định thư Kyoto bắt đầu có hiệu lực. Nghị định thư Kyoto coi TQ là nước đang phát triển nên không cần cắt giảm việc tiêu thụ nhiên liệu hóa thạch. Mỹ từ chối phê chuẩn nghị định thư này. Theo Viện Chính sách Trái đất, kinh tế TQ nằm trong “vị trí trung tâm của nền kinh tế nguyên liệu thô”. Nhu cầu nguyên liệu của TQ không những đẩy giá cả hàng hóa lên cao mà còn khiến chi phí vận tải trở nên đắt đỏ."
Tuyết rơi dày ảnh hưởng đến giao thông,"Tuyết rơi dày ảnh hưởng đến giao thông Cảnh tuyết phủ dày tại sân bay Munich ở Bavaria ngày 16/2.AFP/TTXVN. Tuyết rơi dày đặc ở vùng Bavaria (Đức) ảnh hưởng nghiêm trọng đến giao thông đường bộ và đường không trong khu vực .Khoảng 200 chuyến bay bị huỷ bỏ và nhiều chuyến bay khác phải hoãn do tuyết rơi nhiều ."
Liên hoan đèn lồng Công nhân,"Chuẩn bị Liên hoan đèn lồng Công nhân treo đèn lồng đỏ ở Thiên Tân ngày 16/2.THX/TTXVN. Những chiếc đèn lồng đỏ đã được treo khắp nơi tại Yangliuqing ,một thị trấn cổ ở Thiên Tân , thành phố cảng ở phía bắc Trung Quốc ,chuẩn bị chào đón Liên hoan Đèn lồng sẽ diễn ra vào ngày 23/2 tới."
Nữ hoàng phản đối việc tổ chức lễ cưới hoang phí,"Nữ hoàng phản đối việc tổ chức lễ cưới hoang phí Thái tử Charles và vị hôn thê Camilla tại lâu đài Windsor. Nữ hoàng Anh Elizabeth II đã yêu cầu Thái tử Charles tổ chức lễ cưới bình dị với vị hôn thê Camilla hơn là một lễ cưới đình đám như mong muốn của thái tử. Tờ The Sun trích nguồn tin từ hoàng gia cho biết nữ hoàng cũng đã khuyên hai người nên ngủ riêng cho đến khi chính thức tổ chức lễ thành hôn vào ngày 8/4 tới. Trước đó, Thái tử Charles (56 tuổi) hy vọng sẽ tổ chức một bữa tiệc hoành tráng tại lâu đài Windsor với sự hiện diện của các quan khách hoàng gia, những người nổi tiếng và các chính khách. Thái tử cũng muốn phục vụ loại rau hữu cơ quý hiếm tại quê hương Highgrove của ông cho bữa tiệc tối nhưng nữ hoàng đã không ủng hộ. Theo The Sun, nữ hoàng cho rằng không đáng để tổ chức một đám cưới phung phí và bà không muốn làm công chúng tức giận với lễ cưới khoa trương như thế. Lễ cưới sẽ vẫn được tổ chức hoành tráng nhưng ở mức độ vừa phải, theo như những tiêu chuẩn vốn có của hoàng gia. (AFP)"
Dân Nhật đang nghèo đi,"Dân Nhật đang nghèo đi Người vô gia cư trên một hè phố ở Tokyo Đầu tháng này, một người phụ nữ nghèo và đứa con trai 3 tuổi được phát hiện chết vì quá đói. Đây chỉ là một trường hợp ngoại lệ, nhưng việc phụ nữ và trẻ em đói kém không phải là cá biệt ở nơi từng nổi tiếng với sự giàu có Một nghiên cứu mới của Chính phủ Nhật ước tính số lượng các gia đình không có cha đã tăng vọt, đạt 1,22 triệu người trong tài khóa 2003 ở quốc gia có 128 triệu dân. Đây là con số cao kỷ lục tính đến nay và tăng đến 28,3% so với 5 năm trước đó. Thống kê cũng cho thấy đa phần các trẻ em trong những hộ gia đình này sống dưới mức nghèo khổ, tạo ra một thế hệ thứ 2 những gia đình nghèo khổ ở đất nước này. Các số liệu của Bộ Y tế, Lao động và Phúc lợi Nhật làm nổi bật sự thất bại hoàn toàn trong chính sách của chính phủ nước này đối phó với những thay đổi đã diễn ra trong một thập kỷ qua, đặc biệt là sự gia tăng mạnh mẽ các vụ ly dị có dính đến trẻ em. Trong 10 năm qua, lương thấp dành cho phụ nữ, một hệ thống chi trả cho việc cấp dưỡng trẻ em không hoạt động, một chính sách an sinh xã hội không thỏa đáng và sự yếu đi của các mạng lưới hỗ trợ gia đình truyền thống đã góp phần vẽ lại bản đồ về sự nghèo khổ ở xứ sở mặt trời mọc. Trước đây, phần lớn các gia đình nghèo là người cao tuổi, nhưng giờ đây, thay vào vị trí đó là những gia đình do những người mẹ “đứng mũi chịu sào”. Phần lớn các bà mẹ độc thân và con cái của họ sống trong nghèo khổ, trong đó nhiều gia đình phải gánh chịu những khó khăn thực sự. Vào năm 2001, thu nhập bình quân hằng năm của một gia đình bà mẹ độc thân là khoảng 2,52 triệu yen (hơn 378 triệu đồng VN), nhưng số liệu mới nhất cho thấy khoản thu nhập này đã giảm xuống còn 2,12 triệu yen trong tài khóa 2002, kém xa con số bình quân. Vào năm 2000, thu nhập bình quân của mỗi hộ gia đình là 6,17 triệu yen và ở một gia đình người cao tuổi, con số này là 3,19 triệu yen. Một số gia đình có thu nhập thấp đang trải qua tình trạng nghèo khổ cùng cực, đến nỗi đã có một số trường hợp các bà mẹ và những đứa con của họ chết vì suy dinh dưỡng. Một trong những trường hợp như thế được ghi nhận vào đầu tháng này khi một bà mẹ 27 tuổi và đứa con trai 3 tuổi được phát hiện chết trong căn hộ của mình ở tỉnh Saitama, gần thủ đô Tokyo hoa lệ. Cảnh sát cho biết không có thực phẩm trong căn hộ này và người phụ nữ chỉ có 8 yen trong ví của mình. Nghiên cứu quốc tế cho thấy ở các nước phát triển, 3 nguyên nhân chính gây ra sự nghèo khó ở các bà mẹ độc thân là lương thấp, việc không chi trả tiền cấp dưỡng của các ông bố vắng mặt và việc thiếu các dịch vụ xã hội như các chương trình phúc lợi, khấu trừ thuế cho gia đình nghèo, chăm sóc trẻ miễn phí cho bà mẹ nghèo và các hệ thống khác, trong đó nhà nước giúp người nghèo bằng cách chuyển các nguồn lực quốc gia sang cho họ. Nhật có đủ 3 nguyên nhân này, tạo ra một môi trường trong đó các tỉ lệ nghèo khổ hầu như chắc chắn sẽ gia tăng. Nghiên cứu mới nhất cho thấy 83% bà mẹ độc thân làm việc, so với bình quân 86% trong thập kỷ trước. Tỉ lệ có việc của các bà mẹ độc thân Nhật là cao nhất trong số các nước phát triển, dù trong những năm gần đây có giảm đi đôi chút do suy thoái kéo dài và thị trường việc làm khó khăn. Dù có tỉ lệ tham gia lực lượng lao động cao, lương bình quân của họ cực thấp. Đó là vì ở Nhật tồn tại khoảng cách lương bổng dựa trên giới tính và trong những năm gần đây có sự gia tăng các hình thức việc làm dưới chuẩn và trả công thấp thu hút sự tham gia của nhiều bà mẹ độc thân. Một điều đáng chú ý ở Nhật là dù số trẻ em gặp khó khăn kinh tế tăng mạnh, chính sách an sinh xã hội vẫn hầu như dành trọn cho người già. Vào tháng 8-2002, chính phủ cắt giảm các khoản phúc lợi dành cho trẻ em và kể từ đó áp dụng các biện pháp thắt lưng buộc bụng. Machiko Osawa, giáo sư Đại học Phụ nữ Nhật, giải thích đó có thể là vì xã hội Nhật đang già đi nên phải ưu tiên ngân sách an sinh xã hội cho người cao tuổi. Tuy nhiên, nhiều nhà bình luận chính trị cho rằng người già Nhật được ưu tiên vì họ có thể đi bỏ phiếu (!)."
Nguy cơ sóng thần,"Nguy cơ sóng thần đe dọa Nam Thái Bình Dương Các chuyên gia cảnh báo hai cơn bão đang tràn vào 3 đảo quốc ở Nam Thái Bình Dương có thể kết hợp tạo thành một cơn “siêu bão” có sức hủy diệt khủng khiếp. Cơn bão Olaf với sức gió 230 km/giờ đã đổi hướng không tràn vào Samoa nhưng đang đe dọa đảo quốc láng giềng American Samoa và quần đảo Cook. Cả Samoa và American Samoa đều đã ban bố tình trạng khẩn cấp. Trước đó, một cơn bão yếu hơn có tên Nancy đã bắt đầu gây thiệt hại nhiều vùng trên quần đảo Cook, nhưng chưa có thông tin về số thương vong. Các chuyên gia thời tiết New Zealand dự báo bão Olaf đang tiến vào miền Nam quần đảo Cook, nơi nó có thể nhập với bão Nancy trong vòng 2 hoặc 3 ngày tới. Những người sống trên quần đảo Cook hiện vẫn chưa hoàn hồn sau khi bị một cơn bão cấp 4 mang tên Meena tấn công cách đây 9 ngày. Các chuyên gia tại Trung tâm Thông tin về thiên tai và cứu hộ Úc - Thái Bình Dương nhận định 2 cơn bão Olaf và Nancy xuất hiện với thời gian sát nhau là điều khá bất thường và rất nguy hiểm. Nếu chúng tạo thành “siêu bão” với sức gió trên 250 km/giờ, nhiều khu vực sẽ bị tàn phá bởi sóng thần cao đến 15 m và bị ngập lụt do mưa lớn. Trong khi đó, số người thiệt mạng do mưa lớn, vỡ đập và lở tuyết tại Pakistan sau hơn 1 tuần đã vượt qua con số 500 người, ngoài ra còn 1.500 người mất tích. Thời tiết xấu và đất lở gây nghẽn đường đã làm cản trở công tác cứu hộ ở Tây Bắc Pakistan, nơi có 260 người chết. Còn tại Nhật Bản, một trận động đất mạnh 5,4 độ Richter làm ít nhất 28 người bị thương, trong đó có 3 người bị thương nặng, nhiều cao ốc rung chuyển và hệ thống xe điện ngầm gián đoạn trong 3 giờ. Trận động đất này xảy ra lúc 4 giờ 46 phút (giờ địa phương), có tâm chấn nằm ở phía Nam tỉnh Ibaraki, phía Bắc thủ đô Tokyo, cách mặt đất 45 km nên chấn động của nó phần nhiều đã bị hấp thụ."
Cảnh sát Anh,"Cảnh sát Anh tìm manh mối mới về cái chết của Công nương Diana Xác chiếc xe chở Công nương Diana Một nhóm cảnh sát Anh đã sang Paris dùng những thiết bị công nghệ mới điều tra thêm về cái chết của Công nương Diana. Cầu đường hầm Pont D’Alma - hiện trường nơi bà cùng người bạn trai Dodi Al Fayed và người lái xe Henry Paul chết trên chiếc xe Mercedes hồi năm 1997 - bị cấm lưu thông để đoàn điều tra làm việc từ 22 giờ đêm 15-2 đến 6 giờ sáng 16-2. Được sự giúp đỡ của cảnh sát Pháp, các nhà điều tra Anh chụp ảnh và giám định lại hiện trường bằng các thiết bị laser chuyên dụng, chưa có trong các cuộc điều tra trước đây. Sau đó hình ảnh sẽ được tái hiện thành mô hình không gian 3 chiều trên máy tính. Người phát ngôn của nhóm điều tra nói rằng mô hình này giúp họ hiểu chính xác hơn những yếu tố gây ra vụ đụng xe. Cảnh sát Anh đã quyết định điều tra lại vụ này hồi năm ngoái để xác định rõ đây thực sự là tai nạn hay một vụ mưu sát như nhiều lời đồn đoán. Cuộc điều tra của cảnh sát Pháp, kết thúc hồi tháng 4-2002, kết luận rằng đây là vụ tai nạn do tài xế phóng nhanh trong tình trạng say rượu khi bị các tay săn ảnh rượt đuổi. Tuy nhiên, nhà kinh doanh người Ai Cập Mohamed Al Fayed, cha của ông Dodi Al Fayed, luôn cho đây là vụ mưu sát. Trong một diễn biến khác liên quan đến hoàng gia Anh, báo Anh The Sun tiết lộ rằng Nữ hoàng Elizabeth II đã yêu cầu Thái tử Charles không nên tổ chức rình rang lễ cưới giữa ông với bà Camilla Shand (thường gọi theo họ chồng cũ là Camilla Parker Bowles), dự kiến diễn ra vào ngày 8-4. Thái tử Charles và Công nương Diana thành hôn năm 1981 và hai người đã ly dị một năm trước khi bà thiệt mạng."
Mỹ “kiếm chuyện” với Syria ,"Mỹ “kiếm chuyện” với Syria Người dân Lebanon tham dự đám tang ông Hariri Hàng chục ngàn người Lebanon hôm 16-2 đã tuần hành dọc các con đường ở thủ đô Beirut để tham dự đám tang của cựu thủ tướng Rafik Hariri - người bị sát hại trong một vụ đánh bom 2 ngày trước đó. Một số người đã hô vang những khẩu hiệu chống Syria, nước bị cáo buộc có liên quan đến vụ sát hại ông Hariri. Tuy nhiên, Syria đã lên tiếng bác bỏ cáo buộc này. Tình hình chính trị tại Lebanon đang trở nên căng thẳng sau khi ông Walid Jumblatt, thủ lĩnh đảng đối lập Druze, hôm 15-2, cáo buộc chính phủ hiện nay và Syria đứng đằng sau vụ sát hại ông Hariri và gọi chính phủ này là “một chế độ khủng bố”. Trong khi đó, theo Bộ trưởng Nội vụ Lebanon, các nhà điều tra tin rằng một kẻ đánh bom tự sát trên xe hơi đã gây ra vụ tấn công trên. Một nhóm Hồi giáo chưa từng biết đến cho biết họ đã thực hiện vụ tấn công trên vì ông Hariri ủng hộ hoàng gia Ả Rập Saudi. Cộng đồng quốc tế tiếp tục gia tăng sức ép lên Chính phủ Lebanon về việc đưa thủ phạm vụ sát hại ông Hariri ra công lý. Hội đồng Bảo an Liên Hiệp Quốc hôm 15-2 ra tuyên bố thúc giục Chính phủ Lebanon truy bắt những kẻ đứng đằng sau vụ tấn công trên. Trong khi đó, Chính phủ Mỹ cũng nhân vụ sát hại ông Hariri để lập lại những cáo buộc chống lại Syria được đưa ra trước đó. Dù Washington không quy trách nhiệm trực tiếp vụ sát hại ông Hariri cho Syria nhưng đã liên hệ vụ này với sự hiện diện của 14.000 lính Syria trên đất Lebanon và việc chính phủ nước này bị cáo buộc ủng hộ khủng bố. Ngoại trưởng Mỹ Condoleezza Rice hôm 15-2 đã triệu hồi đại sứ nước này ở Syria về nước để “tham khảo ý kiến khẩn cấp” về vụ sát hại ông Hariri. Cùng lúc đó, bà Rice tuyên bố rằng quan hệ giữa Mỹ và Syria trở nên tồi tệ hơn sau vụ việc, nhưng nói thêm Washington vẫn chưa muốn thảo luận những biện pháp cấm vận mới chống lại Syria."
Bệnh viện thú y đầu tiên ở Đông Nam Á," Bệnh viện thú y đầu tiên ở Đông Nam Á Vườn thú Singapore ở Singapore dự kiến sẽ khai trương bệnh viện thú y đầu tiên ở Đông Nam Á vào ngày 13-3 tới.Bệnh viện trị giá 3,6 triệu USD này có diện tích tương đương một sân bóng đá và được trang bị nhiều thiết bị y tế tiên tiến như máy chụp X-quang. Trong ảnh: Du khách tham quan vườn thú Singapore. "
Mexico:Phản đối xây dựng bức tường biên giới,"Mexico:Phản đối xây dựng bức tường biên giới với Mỹ Hôm 21-12, Mexico tuyên bố sẽ mở một chiến dịch quốc tế để phản đối việc Mỹ dự định kéo dài bức tường ngăn cách giữa biên giới hai nước nhằm ngăn chặn nạn nhập cư trái phép. Chính phủ Mexico thuê Allyn &amp; Company - một công ty quan hệ công chúng của Mỹ có trụ sở ở thành phố Dallas - giúp cải thiện hình ảnh Mexico, nhất là những ấn tượng xấu về người nhập cư; vận động một số nhà thờ, các nhóm doanh nghiệp và cộng đồng ở Mỹ phản đối kế hoạch xây tường. Mexico cũng tăng cường các biện pháp bảo vệ người di cư, cho đăng và phát đi những quảng cáo kêu gọi công nhân Mexico lên án việc vi phạm nhân quyền ở Mỹ. Cuối tuần trước, Hạ viện Mỹ đã thông qua dự luật chống nhập cư bất hợp pháp với 239 phiếu thuận, 182 phiếu chống, trong đó dự định xây bức tường bổ sung dài hơn 1.000km qua các đoạn biên giới ở Texas, California, Arizona, New Mexico, tăng cường lực lượng chuyên trách bảo vệ biên giới. Hiện giờ, một số đoạn giữa biên giới Mỹ - Mexico đã có hàng rào. Tại những điểm nóng, phía Mỹ đã cho xây lên những bức tường bằng thép cao tới 3m. Những đoạn tường này có khi dài tới vài cây số và thường thấy ở vùng phía nam bang Arizona hay bang California. Nhiều người Mexico - nhất là những người đã từng làm việc ở Mỹ - cảm thấy dự luật như một cái tát đối với những người đã từng làm việc rất chăm chỉ và đóng góp cho nền kinh tế Mỹ. ẹt nhất 10 triệu người Mexico đang làm việc ở Mỹ. Theo phía Mỹ thì khoảng một nửa trong số đó không có giấy tờ. Năm 2004, người lao động ở vùng Rio Grande ở phía bắc Mexico đã gửi về nhà 16 tỉ USD, trở thành nguồn thu lớn thứ hai cho Mexico, sau thu nhập từ xuất khẩu dầu lửa."
Chặn “dịch” phá cây," Chặn “dịch” phá cây Những ngôi nhà trông ra cảng Sydney như trong ảnh là vô cùng “có giá” nên người dân thành phố này đang ra sức dùng chất độc để phá bỏ cây cối che khuất nhà họ.Vấn đề nghiêm trọng đến mức Bộ trưởng Môi trường bang New South Wales gọi là “dịch” và chính quyền bang này đang áp dụng các biện pháp nhằm ngăn chặn hành vi “không thân thiện với môi trường” nói trên."
Ngăn ngừa bệnh ung thư vú ở các lứa tuổi,"Sau những công trình nghiên cứu, các nhà khoa học đưa ra kết luận rằng cứ 8 người thì có một người bị mắc căn bệnh ung thư vú - bệnh được coi là một trong những bệnh đáng sợ nhất. Dưới đây là các phương pháp phòng ngừa ở từng lứa tuổi của người phụ nữ. 1. Lứa tuổi 20 Các nghiên cứu đã chỉ ra rằng cách phòng chống tự nhiên và có hiệu quả nhất đối với ung thư vú là nên có con sớm trong cuộc đời. Phụ nữ sinh con sớm (tuổi 20 hoặc ngoài 20) sẽ giảm nguy cơ bị ung thư vú là 50% so với phụ nữ không bao giờ sinh con. Bên cạnh đó, rèn luyện cơ thể cũng là một phương pháp phòng ngừa hiệu quả có thể giảm được 50% nguy cơ. Theo các nhà nghiên cứu thì quá trình tập luyện thường xuyên sẽ làm giảm lượng estrogen trong cơ thể người phụ nữ trẻ. Khi lượng estrogen này tích tụ dư thừa sẽ dẫn tới hình thành các u ở vú. Mỗi tuần rèn luyện cơ thể khoảng 4 giờ thì sẽ giảm nguy cơ ung thư vú là 50%. 2. Lứa tuổi 30 Tỉ lệ sinh đẻ đối với phụ nữ ở tuổi 30 tăng lên 2 lần trong 20 năm qua. Một đặc điểm là phụ nữ sau khi sinh thường lên cân rất nhanh, nếu lên tới khoảng 20 kg thì nguy cơ bị ung thư vú là 40%. Các tế bào mỡ cũng sản xuất ra ostrogen, và khi cơ thể tăng trọng lượng sẽ kích thích các khối u ở vú hình thành và phát triển. Hút thuốc lá cũng là tác nhân gây ung thư vú chiếm tỉ lệ là 60%. Để phòng chống, ngoài việc thường xuyên rèn luyện cơ thể và có chế độ ăn hợp lý, phụ nữ cần phải bổ sung lượng axit folic hằng ngày. 3. Lứa tuổi 40 Trung tâm nghiên cứu ung thư ở Bắc California - Mỹ khuyên rằng thường xuyên tắm nắng mặt trời sẽ giảm nguy cơ ung thư vú tới 40%. Chỉ cần mỗi ngày tắm nắng 10 phút có thể giúp bạn thu nạp vitamin D cần thiết. Ngoài ra ở lứa tuổi này chị em phụ nữ cũng cần thường xuyên đi chụp X- quang để sớm phát hiện khối u ở vú để từ đó có biện pháp điều trị kịp thời. Một nghiên cứu của Thụy Điển kết luận rằng việc thường xuyên chụp X-quang để phát hiện khối u có thể giảm nguy cơ tới 63%. 4. Lứa tuổi 50 Theo các bác sĩ chuyên khoa thì có tới 80% phụ nữ bị mắc bệnh ung thư ở lứa tuổi này. Chị em cần có chế độ ăn để không tăng cân, điều này sẽ giảm được nguy cơ gây bệnh. Liệu pháp thay thế hoocmon ở phụ nữ sau thời kỳ mãn kinh chỉ nên thực hiện trong một thời gian ngắn, nếu áp dụng liệu pháp này trong vòng 5 năm hoặc lâu hơn thì có thể tăng nguy cơ ung thư vú lên tới 70%. Những phụ nữ trong gia đình có tiền sử mắc bệnh ung thư vú thì không nên áp dụng liệu pháp này."
Làm đẹp cho khuôn mặt vuông,"Bạn có thể sử dụng kỹ thuật trang điểm kết hợp với kiểu tóc để tạo cho khuôn mặt hài hoà hơn. Nền: Dùng kem nền hơi sậm cho khuôn mặt và kem phấn nâu sậm để đánh vào hai góc cạnh của khuôn mặt. Dùng phấn màu sáng đánh ở trán, mũi và quầng mắt tạo độ sáng cho khuôn mặt. Cuối cùng phủ một lớp phấn. Chân mày: Chì đen tạo dáng chân mày cong nhẹ cho phù hợp với khuôn mătå. Má hồng: Dùng màu có ánh bạc đánh vát ở hai bên má. Môi: Vẽ một đường sắc viền bên ngoài bằng son, sau đó tô kín môi. Tóc: Cắt hơi tém ôm vào hai bên mặt tạo khuôn mặt thon thả hơn."
Làm đẹp bằng màu nước,"Hiện nay có các mỹ phẩm theo dạng nước để dùng trang điểm. Khi dùng loại mỹ phẩm này sẽ làm tăng sự gợi cảm cho khuôn mặt vì nó có pha nhũ. Nền: Dùng kem nước đánh nền để che các khuyết điểm trên mặt, sau đó phủ một lớp phấn như bình thường. Mắt: Đánh toàn bộ bầu mắt bằng mắt nước màu nhũ vàng. Nhấn mí mắt bằng màu vàng đồng cả mí trên và dưới. Ở cuối mắt tạo đuôi bằng màu nâu để mắt có chiều sâu và dài. Vuốt mascara tạo độ cong cho lông mi. Má: Đánh vát hai bên má. Môi: Dùng môi nước màu cam."
