question,answer
Dĩ nhiên tôi sẽ.,Tôi chỉ muốn cho bạn biết những gì đã xảy ra.
Bạn đã đi học ngày hôm nay?,tất nhiên rồi.Bạn đã?
tất nhiên rồi.Bạn đã?,Tôi không muốn vì vậy tôi đã không.
Tôi không muốn vì vậy tôi đã không.,Thật đáng buồn nhưng gần đây bạn đã đi xem phim chưa?
Thật đáng buồn nhưng gần đây bạn đã đi xem phim chưa?,Đó là một công tắc.
Đó là một công tắc.,Tôi nghiêm túc phải không?
Tôi nghiêm túc phải không?,Không tôi chưa.Tại sao?
Không tôi chưa.Tại sao?,Tôi thực sự muốn đi xem phim vào cuối tuần này.
Tôi thực sự muốn đi xem phim vào cuối tuần này.,Vì vậy đi sau đó.
Vì vậy đi sau đó.,Tôi thực sự không muốn tự mình đi.
Tôi thực sự không muốn tự mình đi.,Dù sao đi nữa bạn có định đi học vào ngày mai không?
Dù sao đi nữa bạn có định đi học vào ngày mai không?,Không tôi nghĩ rằng tôi sẽ đi xem phim.
Bạn đã đến trường hôm nay?,tôi luôn luôn làm. Bạn đã đi học ngày hôm nay?
tôi luôn luôn làm. Bạn đã đi học ngày hôm nay?,Không tôi đã không.
Không tôi đã không.,Bạn nên có nhưng gần đây bạn đã xem phim nào chưa?
Bạn nên có nhưng gần đây bạn đã xem phim nào chưa?,Đó là một sự thay đổi kỳ lạ của chủ đề.
Đó là một sự thay đổi kỳ lạ của chủ đề.,Có thể đó là nhưng trả lời câu hỏi.
Có thể đó là nhưng trả lời câu hỏi.,Không không gần đây.
Không không gần đây.,Tôi muốn đi xem một bộ phim vào cuối tuần này.
Tôi muốn đi xem một bộ phim vào cuối tuần này.,Điều gì đang ngăn cản bạn?
Điều gì đang ngăn cản bạn?,Tôi không muốn đi một mình.
Tôi không muốn đi một mình.,Vì vậy bạn sẽ ở trường vào ngày mai?
Vì vậy bạn sẽ ở trường vào ngày mai?,Không tôi muốn đi xem phim thay thế.
Bạn thậm chí còn bận tâm đến trường hôm nay?,Vâng tôi đã đi.Bạn đã đi?
Vâng tôi đã đi.Bạn đã đi?,Không tôi không cảm thấy thích nó.
Không tôi không cảm thấy thích nó.,Thật tuyệt gần đây bạn đã tham gia các bộ phim chưa?
Thật tuyệt gần đây bạn đã tham gia các bộ phim chưa?,Không nhưng đó là một sự thay đổi ngẫu nhiên của chủ đề.
Không nhưng đó là một sự thay đổi ngẫu nhiên của chủ đề.,Nó có thể là ngẫu nhiên nhưng có bạn?
Nó có thể là ngẫu nhiên nhưng có bạn?,Gần đây tôi không.
Gần đây tôi không.,Tôi rất thích xem một bộ phim vào cuối tuần này.
Tôi rất thích xem một bộ phim vào cuối tuần này.,Vì vậy tại sao bạn không đi?
Vì vậy tại sao bạn không đi?,Tôi không muốn tự mình xem một bộ phim.
Tôi không muốn tự mình xem một bộ phim.,Được rồi vậy bạn sẽ đi học vào ngày mai?
Cảm ơn vì đã đến gặp tôi hôm nay.,Không có vấn đề gì.Dù sao thì tôi cũng đã nhớ bạn.
Không có vấn đề gì.Dù sao thì tôi cũng đã nhớ bạn.,Tôi cũng nhớ bạn.
Tôi cũng nhớ bạn.,Tại sao bạn chưa cố gắng đến gặp tôi sau đó?
Tại sao bạn chưa cố gắng đến gặp tôi sau đó?,Tôi đã thực sự bận rộn.
Tôi đã thực sự bận rộn.,làm gì?
làm gì?,đang làm việc.
đang làm việc.,Tôi sẽ đến gặp bạn sớm hơn nhưng tôi cũng bận.
Tôi sẽ đến gặp bạn sớm hơn nhưng tôi cũng bận.,Bạn đã làm gì?
Bạn đã làm gì?,Tôi cũng đã làm việc.
Tôi cũng đã làm việc.,Bất kể tôi rất vui vì bạn đã đến gặp tôi.
Bất kể tôi rất vui vì bạn đã đến gặp tôi.,tôi cũng vậy.
Tôi thực sự rất vui vì bạn đã đến gặp tôi.,tôi phải.Tôi đã nhớ bạn rất nhiều.
tôi phải.Tôi đã nhớ bạn rất nhiều.,Tôi cũng đã nhớ bạn.
Tôi cũng đã nhớ bạn.,Vì vậy tại sao bạn chưa đến thăm tôi?
Vì vậy tại sao bạn chưa đến thăm tôi?,Gần đây tôi thực sự đang bận.
Gần đây tôi thực sự đang bận.,Bạn đã làm gì?
Bạn đã làm gì?,Tôi vừa làm việc rất chăm chỉ.
Tôi vừa làm việc rất chăm chỉ.,Tôi cũng đã bận rộn.
Tôi cũng đã bận rộn.,Hãy cho tôi biết bạn đã làm gì.
Hãy cho tôi biết bạn đã làm gì.,Về cơ bản tôi cũng đã làm việc.
Về cơ bản tôi cũng đã làm việc.,Dù sao đi nữa tôi rất vui vì bạn đã đến.
Dù sao đi nữa tôi rất vui vì bạn đã đến.,tôi cũng vậy.
Tôi thực sự rất vui vì bạn đã đến thăm tôi.,Tôi thực sự nhớ bạn rất nhiều.
Tôi thực sự nhớ bạn rất nhiều.,Tôi đã nhớ bạn như điên.
Tôi đã nhớ bạn như điên.,Tôi không hiểu tại sao bạn không đến thăm tôi.
Tôi không hiểu tại sao bạn không đến thăm tôi.,Gần đây tôi đã khá bận rộn.
Gần đây tôi đã khá bận rộn.,Nói cho tôi biết bạn đã làm gì.
Nói cho tôi biết bạn đã làm gì.,Tôi thực sự đã làm việc rất nhiều gần đây.
Tôi thực sự đã làm việc rất nhiều gần đây.,Tôi đã khá bận rộn.
Tôi đã khá bận rộn.,Vì vậy những gì bạn có được lên đến?
Vì vậy những gì bạn có được lên đến?,Tôi vừa làm việc rất nhiều.
Tôi vừa làm việc rất nhiều.,Dù lý do có thể là gì tôi rất vui vì bạn đã đến thăm tôi.
Này bạn có nghe về bữa tiệc của Jessica vào cuối tuần này không?,Vâng nhưng tôi vẫn đang chờ lời mời của mình.
Vâng nhưng tôi vẫn đang chờ lời mời của mình.,ồ vậy ư?Cô ấy đã cho tôi của tôi sớm hơn ngày hôm nay.
ồ vậy ư?Cô ấy đã cho tôi của tôi sớm hơn ngày hôm nay.,Chà có lẽ cô ấy sẽ chỉ cho tôi lời mời của tôi sau ngày hôm nay.
Chà có lẽ cô ấy sẽ chỉ cho tôi lời mời của tôi sau ngày hôm nay.,Vâng vậy bạn đang có kế hoạch đi?
Vâng vậy bạn đang có kế hoạch đi?,tôi nghĩ vậy.Có vẻ như nó sẽ rất nhiều niềm vui.
tôi nghĩ vậy.Có vẻ như nó sẽ rất nhiều niềm vui.,Nó thực sự làm tôi không thể chờ đợi.
Nó thực sự làm tôi không thể chờ đợi.,Mấy giờ bữa tiệc bắt đầu?
Mấy giờ bữa tiệc bắt đầu?,Nó bắt đầu lúc 8 giờ.
Nó bắt đầu lúc 8 giờ.,Ồ tốt cô ấy đã mời bao nhiêu người cho đến nay?
Ồ tốt cô ấy đã mời bao nhiêu người cho đến nay?,Tôi không chắc chắn nhưng tôi không nghĩ cô ấy đã cho nhiều điều đó.
Tôi không chắc chắn nhưng tôi không nghĩ cô ấy đã cho nhiều điều đó.,Chà hy vọng cô ấy sẽ cho tôi lời mời của tôi sau ngày hôm nay.
Bạn đã nghe nói về bữa tiệc của Jessica vào thứ bảy chưa?,Tôi đã nghe về nó nhưng tôi vẫn đang chờ lời mời của mình.
Tôi đã nghe về nó nhưng tôi vẫn đang chờ lời mời của mình.,Thực ra?Tôi đã nhận được của tôi từ cô ấy sáng nay.
Thực ra?Tôi đã nhận được của tôi từ cô ấy sáng nay.,Tôi đoán rằng cô ấy sẽ cho tôi lời mời hôm nay hoặc ngày mai.
Tôi đoán rằng cô ấy sẽ cho tôi lời mời hôm nay hoặc ngày mai.,Bạn có thể đúng bạn có ý định đi dự tiệc không?
Bạn có thể đúng bạn có ý định đi dự tiệc không?,tôi muốn.Tôi nghe nói nó sẽ thực sự thú vị.
tôi muốn.Tôi nghe nói nó sẽ thực sự thú vị.,Tôi biết nó nghe có vẻ khá tuyệt vời.
Tôi biết nó nghe có vẻ khá tuyệt vời.,Vâng khi nào bữa tiệc bắt đầu?
Vâng khi nào bữa tiệc bắt đầu?,Nó được cho là bắt đầu vào khoảng tám.
Nó được cho là bắt đầu vào khoảng tám.,Cô ấy đã đưa ra bao nhiêu lời mời?
Cô ấy đã đưa ra bao nhiêu lời mời?,Tôi thực sự không biết nhưng tôi không nghĩ cô ấy đã đưa ra nhiều điều đó.
Tôi thực sự không biết nhưng tôi không nghĩ cô ấy đã đưa ra nhiều điều đó.,Tôi thực sự muốn đi vì vậy tôi hy vọng rằng cô ấy sẽ sớm nhận được lời mời của tôi.
Có ai nói với bạn về bữa tiệc của Jessica sắp tới không?,Tôi đã được nói về nó rồi.Tôi chỉ đang chờ đợi lời mời của tôi.
Tôi đã được nói về nó rồi.Tôi chỉ đang chờ đợi lời mời của tôi.,Có đúng không?Tôi đã nhận được lời mời của tôi từ cô ấy trước đó.
Có đúng không?Tôi đã nhận được lời mời của tôi từ cô ấy trước đó.,Tôi tin rằng cô ấy sẽ cho tôi lời mời hôm nay.
Tôi tin rằng cô ấy sẽ cho tôi lời mời hôm nay.,Bạn thậm chí sẽ đi?
Bạn thậm chí sẽ đi?,Vâng có vẻ như nó sẽ là bữa tiệc tốt nhất trong năm.
Vâng có vẻ như nó sẽ là bữa tiệc tốt nhất trong năm.,Chính xác có vẻ như nó sẽ rất thú vị.
Chính xác có vẻ như nó sẽ rất thú vị.,Khi nào chính xác thì bữa tiệc bắt đầu?
Khi nào chính xác thì bữa tiệc bắt đầu?,Lời mời nói rằng nó bắt đầu lúc 8:00 tối
Lời mời nói rằng nó bắt đầu lúc 8:00 tối,Cô ấy đã đưa ra rất nhiều lời mời chưa?
Cô ấy đã đưa ra rất nhiều lời mời chưa?,Tôi không biết cô ấy đã không đưa ra nhiều.
Này có chuyện gì vậy?,không có gì thực sự.
không có gì thực sự.,Tôi đang tổ chức một bữa tiệc vào thứ Sáu.
Tôi đang tổ chức một bữa tiệc vào thứ Sáu.,Tôi đã không nhận ra điều đó.
Tôi đã không nhận ra điều đó.,Bạn đã không?
Bạn đã không?,Không ai nói với tôi bất cứ điều gì về bữa tiệc của bạn.
Không ai nói với tôi bất cứ điều gì về bữa tiệc của bạn.,Bạn có muốn đi không?
Bạn có muốn đi không?,khi nao thi băt đâu?
khi nao thi băt đâu?,lúc 8:00 tối
lúc 8:00 tối,tôi sẽ ở đó.
tôi sẽ ở đó.,Tôi tốt hơn sẽ gặp bạn ở đó.
Tôi tốt hơn sẽ gặp bạn ở đó.,tất nhiên rồi.
Chuyện gì đang xảy ra với bạn?,khỏe.Chuyện gì đang xảy ra với bạn?
khỏe.Chuyện gì đang xảy ra với bạn?,Tôi đang có một bữa tiệc vào thứ Sáu này.
Tôi đang có một bữa tiệc vào thứ Sáu này.,Tôi không ý kiến.
Tôi không ý kiến.,Có đúng không?
Có đúng không?,Tôi không nghe thấy gì về nó.
Tôi không nghe thấy gì về nó.,Bạn có thể đi không?
Bạn có thể đi không?,mấy giờ?
mấy giờ?,Nó bắt đầu lúc 8 giờ.
Nó bắt đầu lúc 8 giờ.,tôi sẽ đi.
tôi sẽ đi.,Tôi hy vọng rằng tôi sẽ gặp bạn ở đó.
Tôi hy vọng rằng tôi sẽ gặp bạn ở đó.,không nghi ngờ gì.
Chuyện gì đang xảy ra?,không nhiều.
không nhiều.,Thứ sáu này tôi đang tổ chức một bữa tiệc.
Thứ sáu này tôi đang tổ chức một bữa tiệc.,ồ vậy ư?Tôi không biết điều đó.
ồ vậy ư?Tôi không biết điều đó.,bạn nghiêm túc chứ?
bạn nghiêm túc chứ?,Tôi chưa nghe thấy gì về nó.
Tôi chưa nghe thấy gì về nó.,Bạn có thể làm cho nó?
Bạn có thể làm cho nó?,Mấy giờ nó bắt đầu?
Mấy giờ nó bắt đầu?,Bữa tiệc bắt đầu ở tuổi 8.
Bữa tiệc bắt đầu ở tuổi 8.,Vâng tôi nghĩ rằng tôi sẽ đi.
Vâng tôi nghĩ rằng tôi sẽ đi.,Tôi sẽ gặp bạn ở đó?
Chuyện gì đang xảy ra?,Không có gì thực sự bạn?
Không có gì thực sự bạn?,Tôi đang tổ chức một bữa tiệc vào thứ bảy tuần sau.
Tôi đang tổ chức một bữa tiệc vào thứ bảy tuần sau.,Có đúng không?
Có đúng không?,Vâng bạn sẽ đến?
Vâng bạn sẽ đến?,Tôi xin lỗi tôi không thể.
Tôi xin lỗi tôi không thể.,tại sao không?
tại sao không?,Tôi không thực sự muốn.
Tôi không thực sự muốn.,Chà tại sao bạn không?
Chà tại sao bạn không?,Tôi ghét đi dự tiệc.
Tôi ghét đi dự tiệc.,Chà không sao đâu.
Chà không sao đâu.,Ừ xin lỗi.
Có chuyện gì vậy?,không có gì bạn thì sao?
không có gì bạn thì sao?,Thứ bảy tới tôi sẽ tổ chức một bữa tiệc.
Thứ bảy tới tôi sẽ tổ chức một bữa tiệc.,ồ vậy ư?
ồ vậy ư?,bạn đang đến?
bạn đang đến?,chắc là không.
chắc là không.,tại sao vậy?
tại sao vậy?,Tôi không cảm thấy muốn đi.
Tôi không cảm thấy muốn đi.,tại sao không?
tại sao không?,Tôi thực sự không thể đứng đi dự tiệc.
Tôi thực sự không thể đứng đi dự tiệc.,Tôi hiểu tôi đoán.
Tôi hiểu tôi đoán.,xin lỗi vì điều đó.
Chuyện gì đang xảy ra?,Không nhiều còn bạn thì sao?
Không nhiều còn bạn thì sao?,Tôi đang có một bữa tiệc vào thứ bảy tuần sau.
Tôi đang có một bữa tiệc vào thứ bảy tuần sau.,Thật tuyệt.
Thật tuyệt.,bạn có đến đó không?
bạn có đến đó không?,Tôi không nghĩ vậy.
Tôi không nghĩ vậy.,Có một lý do tại sao?
Có một lý do tại sao?,Tôi thực sự không muốn đi.
Tôi thực sự không muốn đi.,làm thế nào mà?
làm thế nào mà?,Tôi không thực sự thích các bữa tiệc.
Tôi không thực sự thích các bữa tiệc.,Tôi ước bạn sẽ đi nhưng không sao cả.
Có chuyện gì vậy?,Không có gì nhiều chuyện gì đang xảy ra?
Không có gì nhiều chuyện gì đang xảy ra?,Tôi đang có một bữa tiệc vào thứ Sáu này.
Tôi đang có một bữa tiệc vào thứ Sáu này.,ồ vậy ư?Thật tuyệt.
ồ vậy ư?Thật tuyệt.,Tôi muốn xem nếu bạn muốn đến.
Tôi muốn xem nếu bạn muốn đến.,thứ Sáu này?Xin lỗi tôi đã có kế hoạch.
thứ Sáu này?Xin lỗi tôi đã có kế hoạch.,làm gì?
làm gì?,Tôi đang đi ăn tối với gia đình.
Tôi đang đi ăn tối với gia đình.,Tôi thực sự muốn bạn đến nhưng tôi hiểu.
Tôi thực sự muốn bạn đến nhưng tôi hiểu.,Vâng có lẽ lần sau.
Vâng có lẽ lần sau.,Tôi sẽ giữ bạn với điều đó.
Tôi sẽ giữ bạn với điều đó.,Nghe có vẻ giống như một kế hoạch.
Này bạn có gì tốt với bạn?,không nhiều.còn bạn thì sao?
không nhiều.còn bạn thì sao?,Tôi đang tổ chức một bữa tiệc vào thứ Sáu.
Tôi đang tổ chức một bữa tiệc vào thứ Sáu.,Nghe có vẻ như thú vị.
Nghe có vẻ như thú vị.,Bạn có nghĩ rằng bạn có thể đến?
Bạn có nghĩ rằng bạn có thể đến?,Tôi xin lỗi.Tôi đã làm một cái gì đó vào thứ sáu này.
Tôi xin lỗi.Tôi đã làm một cái gì đó vào thứ sáu này.,Bạn sẽ làm gì?
Bạn sẽ làm gì?,Gia đình tôi và tôi đang đi ăn tối.
Gia đình tôi và tôi đang đi ăn tối.,Tôi đã hy vọng bạn sẽ đến.
Tôi đã hy vọng bạn sẽ đến.,Tôi chắc chắn sẽ cố gắng làm cho nó vào lần tới.
Tôi chắc chắn sẽ cố gắng làm cho nó vào lần tới.,Tôi tốt hơn sẽ gặp bạn ở đó.
Tôi tốt hơn sẽ gặp bạn ở đó.,Được rồi.Tôi se gặp bạn lân sau.
Chuyện gì đang xảy ra?,không có gì thực sự.Còn bạn thì sao?
không có gì thực sự.Còn bạn thì sao?,Rất nhiều giống như bữa tiệc tôi có vào thứ Sáu.
Rất nhiều giống như bữa tiệc tôi có vào thứ Sáu.,Chà thật tuyệt.
Chà thật tuyệt.,Bạn sẽ có thể làm nó?
Bạn sẽ có thể làm nó?,Tôi đang bận vào thứ sáu này.Tôi xin lỗi.
Tôi đang bận vào thứ sáu này.Tôi xin lỗi.,làm những gì bạn phải làm?
làm những gì bạn phải làm?,Tôi đang ăn tối với gia đình
Tôi đang ăn tối với gia đình,Có lẽ bạn có thể đến lần sau.
Có lẽ bạn có thể đến lần sau.,Tôi sẽ đảm bảo và đến với bữa tiệc tiếp theo của bạn.
Tôi sẽ đảm bảo và đến với bữa tiệc tiếp theo của bạn.,Tôi sẽ tìm bạn trong bữa tiệc tiếp theo của tôi.
Thật tuyệt khi nói chuyện với bạn.,Tại sao bạn cố gắng đẩy tôi ra khỏi điện thoại?
Tại sao bạn cố gắng đẩy tôi ra khỏi điện thoại?,tôi thật sự phải đi đây.
tôi thật sự phải đi đây.,Tại sao?Tôi vẫn muốn nói chuyện với bạn.
Tại sao?Tôi vẫn muốn nói chuyện với bạn.,tôi có việc phải làm.
tôi có việc phải làm.,như thế nào?
như thế nào?,Đừng tao nhã.
Đừng tao nhã.,tôi không. tôi chỉ muốn biết.
tôi không. tôi chỉ muốn biết.,Chà nó thực sự không phải là việc của bạn.
Chà nó thực sự không phải là việc của bạn.,đó là khắc nghiệt.
đó là khắc nghiệt.,Tôi xin lỗi nhưng tôi phải đi.
Tôi xin lỗi nhưng tôi phải đi.,khỏe.
Tôi rất thích trò chuyện với bạn.,Có lý do tại sao bạn đang cố gắng tắt điện thoại quá nhanh không?
Có lý do tại sao bạn đang cố gắng tắt điện thoại quá nhanh không?,Tôi phải đi.
Tôi phải đi.,Tôi đã không nói xong với bạn.
Tôi đã không nói xong với bạn.,Tôi phải làm một số việc và bên cạnh đó không có gì lịch sự.
Tôi phải làm một số việc và bên cạnh đó không có gì lịch sự.,Tôi không phải là người tà.Tôi chỉ hỏi.
Tôi không phải là người tà.Tôi chỉ hỏi.,Tôi thực sự không nghĩ đó là bất kỳ doanh nghiệp nào của bạn.
Tôi thực sự không nghĩ đó là bất kỳ doanh nghiệp nào của bạn.,Điều đó không tốt.
Điều đó không tốt.,Tôi xin lỗi nhưng tôi đang tắt điện thoại.
Tôi xin lỗi nhưng tôi đang tắt điện thoại.,được rồi.
tôi sẽ nói với bạn sau.,Sự vội vàng là gì?
Sự vội vàng là gì?,Tôi phải tắt điện thoại ngay bây giờ.
Tôi phải tắt điện thoại ngay bây giờ.,Tôi chưa sẵn sàng để tắt điện thoại với bạn.
Tôi chưa sẵn sàng để tắt điện thoại với bạn.,Có những thứ khác tôi cần phải chăm sóc.
Có những thứ khác tôi cần phải chăm sóc.,Bạn cần phải làm gì?
Bạn cần phải làm gì?,Xin đừng teo.
Xin đừng teo.,Tôi không phải là người đẹp đó chỉ là một câu hỏi.
Tôi không phải là người đẹp đó chỉ là một câu hỏi.,Bạn không cần phải lo lắng về điều đó.
Bạn không cần phải lo lắng về điều đó.,Điều đó có nghĩa là để nói.
Điều đó có nghĩa là để nói.,Tôi rất xin lỗi nhưng tôi phải đi.
Chà thật tuyệt khi nói chuyện với bạn.,Thật tuyệt khi nói chuyện với bạn.
Thật tuyệt khi nói chuyện với bạn.,Chúng ta thực sự nên đi chơi một lần nữa.
Chúng ta thực sự nên đi chơi một lần nữa.,Đó sẽ là niềm vui.
Đó sẽ là niềm vui.,bạn muốn đi đâu?
bạn muốn đi đâu?,Tôi nghĩ chúng ta nên đi ăn.
Tôi nghĩ chúng ta nên đi ăn.,Nghe có vẻ tốt.
Nghe có vẻ tốt.,Được rồi vì vậy tôi sẽ gặp bạn sau đó.
Được rồi vì vậy tôi sẽ gặp bạn sau đó.,Tôi sẽ gọi cho bạn sau.
Tôi sẽ gọi cho bạn sau.,Được rồi tôi sẽ nói chuyện với bạn sau đó.
Được rồi tôi sẽ nói chuyện với bạn sau đó.,hẹn gặp lại.
hẹn gặp lại.,tạm biệt.
Tôi thích nói chuyện với bạn.,Tôi cũng thích nói chuyện với bạn.
Tôi cũng thích nói chuyện với bạn.,Chúng ta nên đi chơi một thời gian.
Chúng ta nên đi chơi một thời gian.,Tôi nghĩ rằng điều đó sẽ tốt đẹp.
Tôi nghĩ rằng điều đó sẽ tốt đẹp.,Có bất cứ điều gì bạn muốn làm vào lần sau?
Có bất cứ điều gì bạn muốn làm vào lần sau?,Bạn có muốn đi ăn không?
Bạn có muốn đi ăn không?,Tôi thích điều đó.
Tôi thích điều đó.,Vì vậy tôi sẽ gặp bạn lần sau.
Vì vậy tôi sẽ gặp bạn lần sau.,Tôi sẽ gọi cho bạn sớm.
Tôi sẽ gọi cho bạn sớm.,tôi sẽ nói với bạn sau.
tôi sẽ nói với bạn sau.,hẹn sớm gặp lại.
hẹn sớm gặp lại.,tạm biệt.
Tôi đã rất vui khi nói chuyện với bạn.,Thật tuyệt khi nói chuyện với bạn.
Thật tuyệt khi nói chuyện với bạn.,Tôi nghĩ rằng chúng ta nên thực sự làm một cái gì đó đôi khi.
Tôi nghĩ rằng chúng ta nên thực sự làm một cái gì đó đôi khi.,Đó nên là vô số niềm vui.
Đó nên là vô số niềm vui.,Bạn muốn làm gì lần sau?
Bạn muốn làm gì lần sau?,Bạn có muốn đi ăn tối hay gì đó không?
Bạn có muốn đi ăn tối hay gì đó không?,Vâng hãy làm điều đó.
Vâng hãy làm điều đó.,Được rồi cho đến lần sau sau đó.
Được rồi cho đến lần sau sau đó.,Tôi sẽ gọi cho bạn để chúng tôi có thể thiết lập nó.
Tôi sẽ gọi cho bạn để chúng tôi có thể thiết lập nó.,Noi chuyện vơi bạn sau nhe.
Noi chuyện vơi bạn sau nhe.,Được rồi hẹn gặp bạn.
bạn sống ở đâu?,Tôi sống ở Pasadena.
Tôi sống ở Pasadena.,Pasadena ở đâu?
Pasadena ở đâu?,Đó là ở California.
Đó là ở California.,Có phải ở Bắc California?
Có phải ở Bắc California?,KHÔNG.Đó là ở Nam California.
KHÔNG.Đó là ở Nam California.,Pasadena có phải là một thành phố lớn?
Pasadena có phải là một thành phố lớn?,Nó khá lớn.
Nó khá lớn.,Làm thế nào lớn là "khá lớn"?
Làm thế nào lớn là "khá lớn"?,Nó có khoảng 140.000 người.
Nó có khoảng 140.000 người.,Los Angeles lớn như thế nào?
Los Angeles lớn như thế nào?,Nó có khoảng 3 triệu người.
bạn có xe hơi không?,em đồng ý.
em đồng ý.,bạn có những loại xe nào?
bạn có những loại xe nào?,Tôi có một chiếc Honda.
Tôi có một chiếc Honda.,Nó có mới không?
Nó có mới không?,Đó là mới vào năm 2003.
