question,answer
Tôi sẽ chỉ đưa nó ra đường vào sáng mai.,Ồ không bạn không.
Ồ không bạn không.,Ý anh là gì?
Ý anh là gì?,Mỗi sáng bạn dậy muộn và vội vã đi làm muộn.
Mỗi sáng bạn dậy muộn và vội vã đi làm muộn.,Bạn có nghĩ rằng tôi sẽ quên làm điều đó?
Bạn có nghĩ rằng tôi sẽ quên làm điều đó?,Bạn sẽ nhớ làm điều đó nhưng bạn sẽ không có thời gian để làm điều đó.
Bạn sẽ nhớ làm điều đó nhưng bạn sẽ không có thời gian để làm điều đó.,Được rồi tôi sẽ đưa nó ra phía trước ngay bây giờ.
bạn đã sẵn sàng chưa?,Sẵn sàng cho những gì?
Sẵn sàng cho những gì?,Sẵn sàng cho công tắc lớn.
Sẵn sàng cho công tắc lớn.,Bạn đang nói về cái gì?
Bạn đang nói về cái gì?,Quốc gia đang chuyển sang TV kỹ thuật số.
Quốc gia đang chuyển sang TV kỹ thuật số.,Ồ.Tất nhiên tôi đã sẵn sàng.
Ồ.Tất nhiên tôi đã sẵn sàng.,Bạn đã mua bộ chuyển đổi?
Bạn đã mua bộ chuyển đổi?,Không tôi không cần một bộ chuyển đổi vì tôi đã mua một chiếc TV kỹ thuật số.
Không tôi không cần một bộ chuyển đổi vì tôi đã mua một chiếc TV kỹ thuật số.,Đó là bao nhiêu?
Đó là bao nhiêu?,Nó chỉ khoảng 120 đô la cho màn hình 13 inch.
Nó chỉ khoảng 120 đô la cho màn hình 13 inch.,Nó có chọn bất kỳ kênh kỹ thuật số nào không?
Nó có chọn bất kỳ kênh kỹ thuật số nào không?,Ồ vâng.Tôi nhận được sáu kênh Hàn Quốc nhưng không có gì bằng tiếng Anh!
người ta thật là vui tính.,Họ chắc chắn là.
Họ chắc chắn là.,Bạn có nghe về phi công không?
Bạn có nghe về phi công không?,Người đã đánh cắp một mặt phẳng nhỏ?
Người đã đánh cắp một mặt phẳng nhỏ?,Vâng anh ta đã đánh cắp một chiếc máy bay ở Canada và bay vào Hoa Kỳ
Vâng anh ta đã đánh cắp một chiếc máy bay ở Canada và bay vào Hoa Kỳ,Họ đã bắt được anh ta?
Họ đã bắt được anh ta?,Đúng.Sau hai U.S.Máy bay chiến đấu theo anh ta trong một giờ anh ta hạ cánh trên đường cao tốc.
Đúng.Sau hai U.S.Máy bay chiến đấu theo anh ta trong một giờ anh ta hạ cánh trên đường cao tốc.,Anh ấy có bị rơi không?
Anh ấy có bị rơi không?,Không anh chỉ hạ cánh máy bay và đi đến một nhà hàng.
Không anh chỉ hạ cánh máy bay và đi đến một nhà hàng.,Có phải cảnh sát tìm hiểu lý do tại sao anh ta bay vào Hoa Kỳ?
Có phải cảnh sát tìm hiểu lý do tại sao anh ta bay vào Hoa Kỳ?,Cuộc sống của anh ấy bị hút.Anh ta đang hy vọng một máy bay chiến đấu sẽ bắn anh ta xuống.
Cuộc sống của anh ấy bị hút.Anh ta đang hy vọng một máy bay chiến đấu sẽ bắn anh ta xuống.,chàng trai tội nghiệp.
Cảnh sát cần sự giúp đỡ của chúng tôi để tìm một tên cướp.,làm sao bạn biết?
làm sao bạn biết?,Tin tức truyền hình đang báo cáo một vụ cướp ngân hàng.
Tin tức truyền hình đang báo cáo một vụ cướp ngân hàng.,Họ có biết tên cướp trông như thế nào không?
Họ có biết tên cướp trông như thế nào không?,Vâng anh ta cao 6 feet 200 pounds tóc đen và khoảng 30 tuổi.
Vâng anh ta cao 6 feet 200 pounds tóc đen và khoảng 30 tuổi.,Anh ấy là chủng tộc nào?
Anh ấy là chủng tộc nào?,Họ không nói.
Họ không nói.,Tin tức TV không cho chúng tôi biết cuộc đua nữa.
Tin tức TV không cho chúng tôi biết cuộc đua nữa.,dĩ nhiên là không.Đó sẽ là phân biệt chủng tộc.
dĩ nhiên là không.Đó sẽ là phân biệt chủng tộc.,Nhưng làm thế nào chúng ta có thể xác định ai đó nếu chúng ta không biết chủng tộc của họ?
Nhưng làm thế nào chúng ta có thể xác định ai đó nếu chúng ta không biết chủng tộc của họ?,Đừng hỏi tôi.
Đừng hỏi tôi.,Sau đó họ cũng không nên nói với chúng tôi nếu tên cướp là nam hay nữ bởi vì đó là phân biệt giới tính.
Đừng lau mũi trên tay áo của bạn.,Nhưng tôi không có mô.
Nhưng tôi không có mô.,Sau đó đi tìm một mô trong phòng tắm.
Sau đó đi tìm một mô trong phòng tắm.,Tôi không có thời gian để lấy một cái từ đó.
Tôi không có thời gian để lấy một cái từ đó.,Tay áo của bạn không phải là mô.
Tay áo của bạn không phải là mô.,Nhưng mẹ tất cả bạn bè của tôi đều sử dụng tay áo của họ.
Nhưng mẹ tất cả bạn bè của tôi đều sử dụng tay áo của họ.,Điều đó không làm cho nó đúng.
Điều đó không làm cho nó đúng.,Tôi thấy bố lau mũi trên tay áo ngày hôm qua.
Tôi thấy bố lau mũi trên tay áo ngày hôm qua.,Tôi sẽ nói chuyện với cha của bạn về điều đó.
Tôi sẽ nói chuyện với cha của bạn về điều đó.,Tôi cá là bố đã làm điều đó mọi lúc khi ông bằng tuổi tôi.
Tôi cá là bố đã làm điều đó mọi lúc khi ông bằng tuổi tôi.,Bố của bạn là một cậu bé tốt.
Bố của bạn là một cậu bé tốt.,làm sao bạn biết?Bạn có phải là mẹ của anh ấy không?
Tôi lo lắng.,Lo lắng về những gì?
Lo lắng về những gì?,Tôi đang kết hôn.
Tôi đang kết hôn.,Bạn nên hạnh phúc không lo lắng.
Bạn nên hạnh phúc không lo lắng.,Tôi hạnh phúc nhưng hôn nhân là rất nhiều trách nhiệm.
Tôi hạnh phúc nhưng hôn nhân là rất nhiều trách nhiệm.,Vâng bạn phải chăm sóc vợ của bạn.
Vâng bạn phải chăm sóc vợ của bạn.,Và tôi phải chăm sóc con cái của chúng tôi.
Và tôi phải chăm sóc con cái của chúng tôi.,Bạn sẽ bắt đầu một gia đình?
Bạn sẽ bắt đầu một gia đình?,Đúng.Chúng tôi muốn có một cậu bé và một cô bé.
Đúng.Chúng tôi muốn có một cậu bé và một cô bé.,Nghe có vẻ tuyệt vời.
Nghe có vẻ tuyệt vời.,Ngoại trừ chúng tôi không đủ khả năng!
Ngoại trừ chúng tôi không đủ khả năng!,Không có gì ngạc nhiên khi bạn đang lo lắng.
Tôi không nhận được nghệ thuật.,hoặc các nghệ sĩ.
hoặc các nghệ sĩ.,Họ đang ở một thế giới khác.
Họ đang ở một thế giới khác.,Tôi thấy một bức tranh của một cái lọ đầy bút chì.
Tôi thấy một bức tranh của một cái lọ đầy bút chì.,Các nghệ sĩ cho biết chiếc bình vừa đầy và trống rỗng.
Các nghệ sĩ cho biết chiếc bình vừa đầy và trống rỗng.,Nhưng nó đầy bút chì!Làm thế nào anh ta có thể nói nó trống rỗng?
Nhưng nó đầy bút chì!Làm thế nào anh ta có thể nói nó trống rỗng?,Các nghệ sĩ nhìn mọi thứ khác nhau.
Các nghệ sĩ nhìn mọi thứ khác nhau.,Bạn đã bao giờ thấy bất cứ thứ gì mà Picasso vẽ?
Bạn đã bao giờ thấy bất cứ thứ gì mà Picasso vẽ?,tất nhiên rồi!Anh ấy nổi tiếng thế giới.
tất nhiên rồi!Anh ấy nổi tiếng thế giới.,Anh ấy đã bao giờ học bài nghệ thuật?
Anh ấy đã bao giờ học bài nghệ thuật?,Tôi không thể tin được.Tôi đã vẽ những bức tranh như thế ở lớp ba.
Tôi không thể tin được.Tôi đã vẽ những bức tranh như thế ở lớp ba.,họ ở đâu?Có lẽ họ có giá trị hàng triệu.
vấn đề ở đây là gì?,điểm của cái gì?
điểm của cái gì?,sống.
sống.ai biết?,Bạn sống và sau đó bạn chết.
ai biết?Bạn sống và sau đó bạn chết.,Chúng ta phải ở đây vì một số lý do.
Chúng ta phải ở đây vì một số lý do.,Có lẽ chúng tôi ở đây để vui chơi.
Có lẽ chúng tôi ở đây để vui chơi.,Vậy tại sao tôi không vui vẻ?
Vậy tại sao tôi không vui vẻ?,Bởi vì bạn đang nghĩ quá nhiều.
Bởi vì bạn đang nghĩ quá nhiều.,Vì vậy tôi nên ngừng suy nghĩ?
Vì vậy tôi nên ngừng suy nghĩ?,Ngừng suy nghĩ về điểm là gì.
Ngừng suy nghĩ về điểm là gì.,được rồi.Tôi sẽ bắt đầu suy nghĩ về việc có một số niềm vui.
được rồi.Tôi sẽ bắt đầu suy nghĩ về việc có một số niềm vui.,chỉ cần kiên nhẫn.Vui vẻ không xuất hiện cứ sau năm phút.
Bia là một loại thuốc mạnh.,thuốc lá cũng vậy.
thuốc lá cũng vậy.,bạn thích cái nào?
bạn thích cái nào?,Ý anh là gì?
Ý anh là gì?,Khi bạn chết và lên thiên đàng họ sẽ cung cấp cho bạn bia hoặc thuốc lá.
Khi bạn chết và lên thiên đàng họ sẽ cung cấp cho bạn bia hoặc thuốc lá.,Tôi chỉ có thể chọn cái này hay cái kia?
Tôi chỉ có thể chọn cái này hay cái kia?,Đúng.Không có gì hoàn hảo thậm chí không phải trên thiên đàng.
Đúng.Không có gì hoàn hảo thậm chí không phải trên thiên đàng.,Chàng trai đó là một điều khó khăn.
Chàng trai đó là một điều khó khăn.,Có gì khó khăn về nó?Tất nhiên tôi sẽ chọn thuốc lá.
Có gì khó khăn về nó?Tất nhiên tôi sẽ chọn thuốc lá.,Nhưng thuốc lá có hương vị tốt hơn nhiều khi bạn có một ly bia lạnh.
Nhưng thuốc lá có hương vị tốt hơn nhiều khi bạn có một ly bia lạnh.,Chà bạn không thể có tất cả mọi thứ.
Chà bạn không thể có tất cả mọi thứ.,Tôi không nghĩ rằng tôi muốn lên thiên đường của bạn.
Quần của tôi có một lỗ ở túi trước.,Bạn không nên mang bút trong túi.
Bạn không nên mang bút trong túi.,Hôm qua một cây bút rơi qua quần vào giày của tôi.
Hôm qua một cây bút rơi qua quần vào giày của tôi.,May mắn cho bạn đó không phải là một con dao sắc.
May mắn cho bạn đó không phải là một con dao sắc.,Ai mang theo một con dao sắc trong túi của họ?
Ai mang theo một con dao sắc trong túi của họ?,Tội phạm tất nhiên.
Tội phạm tất nhiên.,Dù sao tôi phải sửa chữa lỗ.
Dù sao tôi phải sửa chữa lỗ.,Bạn có thể may nó lên hoặc sử dụng một bản vá sắt.
Bạn có thể may nó lên hoặc sử dụng một bản vá sắt.,Hãy cho tôi biết về bản vá này.
Hãy cho tôi biết về bản vá này.,Các bản vá có keo.Sắt nóng tan chảy keo để các bản vá dính vào.
Các bản vá có keo.Sắt nóng tan chảy keo để các bản vá dính vào.,Điều đó nghe dễ dàng hơn nhiều so với may.
Điều đó nghe dễ dàng hơn nhiều so với may, Nhưng sau khoảng mười lần rửa keo rửa sạch.
Bạn có biết bất kỳ câu chuyện cười hay không?,Tôi không thể nhớ những trò đùa.
Tôi không thể nhớ những trò đùa.,Tôi cũng không thể.
Tôi cũng không thể.,Họ đi vào tai này và người kia.
Họ đi vào tai này và người kia.,Ai tạo nên tất cả những trò đùa này?
Ai tạo nên tất cả những trò đùa này?,ai biết?Nhưng phải có một trăm cái mới mỗi ngày.
ai biết?Nhưng phải có một trăm cái mới mỗi ngày.,Vâng chỉ bằng tiếng Anh một mình.
Vâng chỉ bằng tiếng Anh một mình.,Tôi tự hỏi nếu mọi ngôn ngữ đều có trò đùa.
Tôi tự hỏi nếu mọi ngôn ngữ đều có trò đùa.,tất nhiên rồi!Mọi người ở khắp mọi nơi thích những trò đùa hay.
tất nhiên rồi!Mọi người ở khắp mọi nơi thích những trò đùa hay.,Bạn nghĩ mọi người nói đùa về điều gì nhất?
Bạn nghĩ mọi người nói đùa về điều gì nhất?,Tôi nghĩ rằng hầu hết các trò đùa là về phụ nữ.
Tôi nghĩ rằng hầu hết các trò đùa là về phụ nữ.,ồ vậy ư?Tôi nghĩ rằng hầu hết các trò đùa là về đàn ông!
bạn đang rất may mắn.,tại sao bạn nói như vậy?
tại sao bạn nói như vậy?,Bạn nói hai ngôn ngữ.
Bạn nói hai ngôn ngữ.,Chà tiếng Anh của tôi không hoàn hảo.
Chà tiếng Anh của tôi không hoàn hảo.,Không ai nói tiếng Anh hoàn hảo.
Không ai nói tiếng Anh hoàn hảo.,Có lẽ tôi sẽ là người đầu tiên!
Có lẽ tôi sẽ là người đầu tiên!,Tôi đã suy nghĩ về việc học tiếng Tây Ban Nha.
Tôi đã suy nghĩ về việc học tiếng Tây Ban Nha.,Tây Ban Nha rất dễ dàng.Tôi sẽ rất vui được dạy bạn.
Tây Ban Nha rất dễ dàng.Tôi sẽ rất vui được dạy bạn.,Tôi sẽ mất bao lâu để học?
Tôi sẽ mất bao lâu để học?,Tôi nghĩ rằng nó sẽ chỉ mất một hoặc hai năm.
Tôi nghĩ rằng nó sẽ chỉ mất một hoặc hai năm.,Bao lâu chúng ta có thể bắt đầu?
Bao lâu chúng ta có thể bắt đầu?,ahora!Điều đó có nghĩa là ngay bây giờ.
Bạn có biết hôm nay là ngày gì không?,Vâng đó là ngày 22 tháng 4.
Vâng đó là ngày 22 tháng 4.,Nó không chỉ là một ngày.
Nó không chỉ là một ngày.,Đó là sinh nhật của bạn hay kỷ niệm của bạn?
Đó là sinh nhật của bạn hay kỷ niệm của bạn?,Không đó là Ngày Trái đất.
Không đó là Ngày Trái đất.,Cái gì vậy?
Cái gì vậy?,Đó là một lời nhắc nhở hàng năm để chăm sóc hành tinh của chúng ta.
Đó là một lời nhắc nhở hàng năm để chăm sóc hành tinh của chúng ta.,Ồ bạn có nghĩa là như tái sử dụng mọi thứ và tái chế công cụ?
Ồ bạn có nghĩa là như tái sử dụng mọi thứ và tái chế công cụ?,Đúng.Chúng ta cần suy nghĩ xanh tiết kiệm nước và ngừng sử dụng túi nhựa.
Đúng.Chúng ta cần suy nghĩ xanh tiết kiệm nước và ngừng sử dụng túi nhựa.,Làm thế nào nếu tôi tắm ngắn hơn?
Làm thế nào nếu tôi tắm ngắn hơn?,Đó là một ý kiến ​​hay bởi vì vòi hoa sen lãng phí rất nhiều nước.
Đó là một ý kiến hay bởi vì vòi hoa sen lãng phí rất nhiều nước.,Từ giờ trở đi tôi sẽ chỉ dành 20 phút khi tắm.
Thơ hút.,Tôi không biết ai thích nó.
Tôi không biết ai thích nó.,Một số trong đó là ổn tôi đoán.
Một số trong đó là ổn tôi đoán.,Vâng những bài thơ có vần điệu và dễ nhớ.
Vâng những bài thơ có vần điệu và dễ nhớ.,Giống như "Một hai khóa giày của tôi."
Giống như "Một hai khóa giày của tôi.",Nhưng mọi người vẫn viết những bài thơ.
Nhưng mọi người vẫn viết những bài thơ.,Không ai kiếm được tiền ở đó.
Không ai kiếm được tiền ở đó.,Shakespeare là một nhà thơ.
Shakespeare là một nhà thơ.,Anh ấy có làm giàu từ thơ của mình không?
Anh ấy có làm giàu từ thơ của mình không?,chắc là không.
chắc là không.,Bài thơ hơi giống bài hát.
Bài thơ hơi giống bài hát.,Vâng nhưng các bài hát có âm nhạc.Không có âm nhạc các bài hát cũng sẽ hấp dẫn.
Bạn thông minh như thế nào?,Tôi không biết.Tôi nghĩ tôi trung bình.
Tôi không biết.Tôi nghĩ tôi trung bình.,Bạn đã bao giờ làm bài kiểm tra IQ?
Bạn đã bao giờ làm bài kiểm tra IQ?,Không tôi không bao giờ làm.Tất cả những gì tôi biết là tôi có A và B ở trường.
Không tôi không bao giờ làm.Tất cả những gì tôi biết là tôi có A và B ở trường.,Tôi ước tôi thực sự thông minh.
Tôi ước tôi thực sự thông minh.,Đừng vô lý.
Đừng vô lý.,Ý anh là gì?
Ý anh là gì?,Nếu bạn sẽ thực hiện một điều ước ước rằng bạn thực sự giàu có hoặc nổi tiếng.
Nếu bạn sẽ thực hiện một điều ước ước rằng bạn thực sự giàu có hoặc nổi tiếng.,Bạn không bao giờ tự hỏi nó là siêu thông minh như thế nào?
Bạn không bao giờ tự hỏi nó là siêu thông minh như thế nào?,Nó phải rất cô đơn.
Nó phải rất cô đơn.,Tại sao vậy?
Tại sao vậy?,Bởi vì nếu bạn siêu thông minh không ai hiểu bạn đang nói gì.
Tôi đã bỏ lỡ tin tức truyền hình đêm qua.Những gì đang diễn ra?,Không có gì sẽ truyền như tin tức.
Không có gì sẽ truyền như tin tức.,Thời tiết sẽ như thế nào vào cuối tuần này?
Thời tiết sẽ như thế nào vào cuối tuần này?,Tôi không biết.Bất cứ khi nào thời tiết đến tôi chuyển kênh.
Tôi không biết.Bất cứ khi nào thời tiết đến tôi chuyển kênh.,Câu chuyện chính trên tin tức là gì?
Câu chuyện chính trên tin tức là gì?,Một số nữ diễn viên đã ra tòa vì lái xe mà không có giấy phép.
Một số nữ diễn viên đã ra tòa vì lái xe mà không có giấy phép.,Câu chuyện thứ hai là gì?
Câu chuyện thứ hai là gì?,Một số diễn viên kết hôn với một người phụ nữ đủ trẻ để làm con gái mình.
Một số diễn viên kết hôn với một người phụ nữ đủ trẻ để làm con gái mình.,Câu chuyện thứ ba là gì?
Câu chuyện thứ ba là gì?,Một con bò đực đuổi theo một người đàn ông trong một siêu thị.
Một con bò đực đuổi theo một người đàn ông trong một siêu thị.,Không có gì về Octo-Mom?
Không có gì về Octo-Mom?,tất nhiên rồi.Cô ấy sẽ thuê một người giữ trẻ cho tám trẻ sơ sinh của mình.
Bạn sẽ làm gì về cái chết của bạn?,Chà chủ yếu là tôi sẽ cố gắng tránh nó.
Chà chủ yếu là tôi sẽ cố gắng tránh nó.,Ý tôi là bạn sẽ bị chôn vùi hay hỏa táng?
Ý tôi là bạn sẽ bị chôn vùi hay hỏa táng?,Vợ tôi và tôi sẽ được hỏa táng.
Vợ tôi và tôi sẽ được hỏa táng.,Bạn sẽ được chôn cất cạnh nhau?
Bạn sẽ được chôn cất cạnh nhau?,Ôi không.Tro tro của chúng ta sẽ bị rung chuyển vào đại dương.
Ôi không.Tro tro của chúng ta sẽ bị rung chuyển vào đại dương.,Bạn sẽ không bị chôn vùi?
Bạn sẽ không bị chôn vùi?,Một quan tài chi phí quá nhiều và chiếm quá nhiều không gian.
Một quan tài chi phí quá nhiều và chiếm quá nhiều không gian.,Vâng nhưng nó sẽ ở trong một nghĩa trang nơi con bạn có thể đến thăm bạn.
Vâng nhưng nó sẽ ở trong một nghĩa trang nơi con bạn có thể đến thăm bạn.,Trẻ em hiếm khi đến thăm cha mẹ của chúng trong một nghĩa trang.
Trẻ em hiếm khi đến thăm cha mẹ của chúng trong một nghĩa trang.,đúng.Một nghĩa trang dành cho người chết không phải người sống.
đúng.Một nghĩa trang dành cho người chết không phải người sống.,Chúng tôi hình dung những đứa trẻ của chúng tôi có thể đến thăm chúng tôi bất cứ khi nào chúng đi biển.
Bạn đã lau chân?,Vâng tất nhiên tôi đã lau chân.
Vâng tất nhiên tôi đã lau chân.,Vậy thì tại sao lại có bùn trên thảm?
Vậy thì tại sao lại có bùn trên thảm?,Tôi không biết.Nó không phải là bùn của tôi.
Tôi không biết.Nó không phải là bùn của tôi.,Chà ai đó đã mang nó vào nhà.
Chà ai đó đã mang nó vào nhà.,Nhìn vào đáy đôi giày của tôi - chúng sạch sẽ.
Nhìn vào đáy đôi giày của tôi - chúng sạch sẽ.,Tất nhiên là chúng sạch sẽ.Bạn để lại tất cả bùn trên thảm.
Tất nhiên là chúng sạch sẽ.Bạn để lại tất cả bùn trên thảm.,Được rồi tôi sẽ lấy máy hút bụi.
Được rồi tôi sẽ lấy máy hút bụi.,Đừng hút bụi nó bây giờ.
Đừng hút bụi nó bây giờ.,Bạn không muốn tôi dọn dẹp bùn?
Bạn không muốn tôi dọn dẹp bùn?,Đợi cho đến khi nó khô.Nó sẽ dễ dàng hơn để hút bụi.
Đợi cho đến khi nó khô.Nó sẽ dễ dàng hơn để hút bụi.,Lần tới tôi sẽ cẩn thận hơn.
Bạn nhận được gì cho mẹ của bạn?,Bạn đang nói về cái gì?
Bạn đang nói về cái gì?,Chủ nhật là Ngày của Mẹ.
Chủ nhật là Ngày của Mẹ.,Chủ nhật này?
Chủ nhật này?,tất nhiên rồi.Đó là tất cả các tin tức.
tất nhiên rồi.Đó là tất cả các tin tức.,Tôi nghĩ đó là Chủ nhật tới.
Tôi nghĩ đó là Chủ nhật tới.,Chà tốt hơn bạn nên lấy cô ấy một cái gì đó.
Chà tốt hơn bạn nên lấy cô ấy một cái gì đó.,Tôi sẽ lấy cho cô ấy một tấm thiệp đẹp.
Tôi sẽ lấy cho cô ấy một tấm thiệp đẹp.,là nó?
là nó?,Đúng.Đó là tất cả những gì tôi từng cho cô ấy.
Đúng.Đó là tất cả những gì tôi từng cho cô ấy.,Cô ấy đã nuôi dạy bạn và tất cả những gì bạn từng cho cô ấy là một tấm thiệp?
Cô ấy đã nuôi dạy bạn và tất cả những gì bạn từng cho cô ấy là một tấm thiệp?,Không sao đâu.Cô ấy biết rằng tôi yêu cô ấy.
Tôi không thích cờ của chúng tôi.,Có chuyện gì đó xảy ra với nó?
Có chuyện gì đó xảy ra với nó?,Nó quá giống như những lá cờ khác.
Nó quá giống như những lá cờ khác.,Vâng rất nhiều cờ có sọc.
Vâng rất nhiều cờ có sọc.,Một lá cờ nên đẹp.
Một lá cờ nên đẹp.,Cờ của chúng ta nên trông như thế nào?
Cờ của chúng ta nên trông như thế nào?,Nó nên có một người phụ nữ xinh đẹp trên đó.
Nó nên có một người phụ nữ xinh đẹp trên đó.,Thật là nực cười!
Thật là nực cười!,Bạn không thích những người phụ nữ xinh đẹp?
Bạn không thích những người phụ nữ xinh đẹp?,Tất nhiên tôi làm.Nhưng không phải trên cờ của chúng tôi!
